 20181007
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       39000   1.28432560       1.58834159       1.40600002    
       39060   1.29176748       1.58834159       1.40600002    
       39120   1.30253494       1.58690846       1.40600002    
       39180   1.31506979       1.58690846       1.40600002    
       39240   1.31506979       1.58597577       1.40600002    
       39300   1.32272089       1.58597577       1.40600002    
       39360   1.33372092       1.58515847       1.40600002    
       39420   1.34459519       1.58515847       1.40600002    
       39480   1.34604657       1.58391225       1.14999998    
       39540   1.35806978       1.58391225       1.14999998    
       39600   1.36990702       1.58216047       1.14999998    
       39660   1.38402379       1.58216047       1.14999998    
       39720   1.37923253       1.58056092       1.14999998    
       39780   1.38969767       1.58056092       1.14999998    
       39840   1.39669764       1.57893777       1.14999998    
       39900   1.40271425       1.57893777       1.14999998    
       39960   1.40113950       1.57725823       1.14999998    
       40020   1.40086043       1.57725823       1.14999998    
       40080   1.39853489       1.57581341       1.14999998    
       40140   1.39188099       1.57581341       1.14999998    
       40200   1.38997674       1.57474017       1.14999998    
       40260   1.39306974       1.57474017       1.14999998    
       40320   1.40216279       1.57364023       1.14999998    
       40380   1.40216279       1.57364023       1.14999998    
       40440   1.41116273       1.57258534       1.14999998    
       40500   1.40725577       1.57258534       1.14999998    
       40560   1.40728569       1.57134402       1.14999998    
       40620   1.39539540       1.57134402       1.14999998    
       40680   1.38813949       1.57023525       1.14999998    
       40740   1.38411629       1.57023525       1.14999998    
       40800   1.38228571       1.56915450       1.14999998    
       40860   1.37583721       1.56915450       1.14999998    
       40920   1.36241865       1.56840074       1.14999998    
       40980   1.34867442       1.56840074       1.14999998    
       41040   1.34014285       1.56784272       1.14999998    
       41100   1.33409297       1.56784272       1.14999998    
       41160   1.32720935       1.56738067       1.14999998    
       41220   1.32213950       1.56738067       1.14999998    
       41280   1.32213950       1.56695950       1.14999998    
       41340   1.31520927       1.56695950       1.14999998    
       41400   1.31151164       1.56688404       1.14999998    
       41460   1.30931818       1.56688404       1.14999998    
       41520   1.30744183       1.56706655       1.14999998    
       41580   1.29913950       1.56706655       1.14999998    
       41640   1.28265119       1.56724024       1.14999998    
       41700   1.28088641       1.56724024       1.14999998    
       41760   1.26674414       1.56705177       1.14999998    
       41820   1.25788367       1.56705177       1.14999998    
       41880   1.25275004       1.56681406       1.14999998    
       41940   1.24795556       1.56681406       1.14999998    
       42000   1.24006820       1.56675291       1.14999998    
       42060   1.23515558       1.56675291       1.14999998    
       42120   1.22522223       1.56680524       1.14999998    
       42180   1.22252178       1.56680524       1.14999998    
       42240   1.22062218       1.56731474       1.14999998    
       42300   1.21977782       1.56731474       1.14999998    
       42360   1.21842217       1.56831849       1.14999998    
       42420   1.22778261       1.56831849       1.14999998    
       42480   1.22513330       1.56994414       1.14999998    
       42540   1.22535551       1.56994414       1.14999998    
       42600   1.22360003       1.57215202       1.14999998    
       42660   1.22521734       1.57215202       1.14999998    
       42720   1.22459996       1.57441211       1.14999998    
       42780   1.22646666       1.57441211       1.14999998    
       42840   1.23024440       1.57642853       1.14999998    
       42900   1.23336959       1.57642853       1.14999998    
       42960   1.23471117       1.57827890       1.14999998    
       43020   1.24031115       1.57827890       1.14999998    
       43080   1.24556518       1.58013380       1.33800006    
       43140   1.24456525       1.58013380       1.33800006    
       43200   1.24202228       1.58221221       1.33800006    
       43260   1.24748886       1.58221221       1.33800006    
       43320   1.24748886       1.58450842       1.33800006    
       43380   1.24264443       1.58450842       1.33800006    
       43440   1.24297726       1.58686304       1.33800006    
       43500   1.24153483       1.58686304       1.33800006    
       43560   1.24153483       1.58938301       1.33800006    
       43620   1.23958135       1.58938301       1.33800006    
       43680   1.23718607       1.59228003       1.33800006    
       43740   1.23245239       1.59228003       1.33800006    
       43800   1.23744190       1.59531033       1.33800006    
       43860   1.23618603       1.59531033       1.33800006    
       43920   1.23193026       1.59846783       1.33800006    
       43980   1.22461903       1.59846783       1.33800006    
       44040   1.22053492       1.60181296       1.33800006    
       44100   1.20811629       1.60181296       1.33800006    
       44160   1.20737207       1.60521328       1.33800006    
       44220   1.20737207       1.60521328       1.33800006    
       44280   1.21258140       1.60882413       1.33800006    
       44340   1.21260464       1.60882413       1.33800006    
       44400   1.20620930       1.61247349       1.33800006    
       44460   1.20490909       1.61247349       1.33800006    
       44520   1.20723259       1.61609554       1.33800006    
       44580   1.20830238       1.61609554       1.33800006    
       44640   1.21209300       1.61951745       1.33800006    
       44700   1.21111369       1.61951745       1.33800006    
       44760   1.21416283       1.62294090       1.33800006    
       44820   1.21095347       1.62294090       1.33800006    
       44880   1.21000004       1.62672448       1.33800006    
       44940   1.21515906       1.62672448       1.33800006    
       45000   1.21665120       1.63062072       1.33800006    
       45060   1.22362792       1.63062072       1.33800006    
       45120   1.22439539       1.63419294       1.33800006    
       45180   1.22177267       1.63419294       1.33800006    
       45240   1.22153485       1.63734126       1.33800006    
       45300   1.22333336       1.63734126       1.33800006    
       45360   1.22378051       1.63997960       1.33800006    
       45420   1.22378051       1.63997960       1.33800006    
       45480   1.22654998       1.64232922       1.33800006    
       45540   1.22972500       1.64232922       1.33800006    
       45600   1.23644996       1.64460921       1.33800006    
       45660   1.23644996       1.64460921       1.33800006    
       45720   1.24502504       1.64656806       1.33800006    
       45780   1.25070000       1.64656806       1.33800006    
       45840   1.25835001       1.64806449       1.33800006    
       45900   1.25835001       1.64806449       1.33800006    
       45960   1.26627505       1.64923000       1.33800006    
       46020   1.27157497       1.64923000       1.33800006    
       46080   1.26705003       1.65009129       1.33800006    
       46140   1.26705003       1.65009129       1.33800006    
       46200   1.26762497       1.65078568       1.33800006    
       46260   1.26972497       1.65078568       1.33800006    
       46320   1.27802503       1.65121067       1.33800006    
       46380   1.27802503       1.65121067       1.33800006    
       46440   1.28219998       1.65180969       1.33800006    
       46500   1.27725005       1.65180969       1.33800006    
       46560   1.27499998       1.65245020       1.33800006    
       46620   1.27499998       1.65245020       1.33800006    
       46680   1.26400006       1.65295184       1.12699997    
       46740   1.25437498       1.65295184       1.12699997    
       46800   1.24817502       1.65331244       1.12699997    
       46860   1.24817502       1.65331244       1.12699997    
       46920   1.23854995       1.65351677       1.12699997    
       46980   1.23854995       1.65351677       1.12699997    
       47040   1.24569225       1.65371633       1.12699997    
