 20180813
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       38400   6.71709108       5.69595003       6.40312481    
       38460   6.69044447       5.69595003       6.37412596    
       38520   6.68165922       5.66040373       6.34363365    
       38580   6.65597725       5.66040373       6.31486082    
       38640   6.64059114       5.62582445       6.28668833    
       38700   6.61828899       5.62582445       6.25933981    
       38760   6.59709072       5.58553362       6.23314667    
       38820   6.58120441       5.58553362       6.20794821    
       38880   6.55570459       5.54557180       6.18428278    
       38940   6.53848886       5.54557180       6.16194057    
       39000   6.51631832       5.50844812       6.14196825    
       39060   6.44390917       5.50844812       6.12420130    
       39120   6.37674999       5.47550678       6.10761738    
       39180   6.35062218       5.47550678       6.09098577    
       39240   6.34243202       5.44973564       6.07262564    
       39300   6.29199982       5.44973564       6.05366087    
       39360   6.26668882       5.42667246       6.03459930    
       39420   6.19506645       5.42667246       6.01565456    
       39480   6.16990900       5.39637518       6.07797861    
       39540   6.13470459       5.39637518       6.03934240    
       39600   6.09735537       5.36367893       6.00135374    
       39660   6.06848907       5.36367893       5.96765804    
       39720   6.05913639       5.33182669       5.93764496    
       39780   6.02863646       5.33182669       5.90810156    
       39840   6.00215912       5.30310345       5.88167191    
       39900   6.00477791       5.30310345       5.85628319    
       39960   5.95568180       5.27955580       5.83640862    
       40020   5.91302252       5.27955580       5.81768942    
       40080   5.91171122       5.26046753       5.80033684    
       40140   5.90068913       5.26046753       5.78342867    
       40200   5.88995457       5.24808550       5.76893377    
       40260   5.90633345       5.24808550       5.75494432    
       40320   5.90095568       5.24040031       5.74050570    
       40380   5.87628889       5.24040031       5.72570562    
       40440   5.84320450       5.23857689       5.70685244    
       40500   5.86339998       5.23857689       5.68881273    
       40560   5.87757778       5.23413086       5.67297983    
       40620   5.86179543       5.23413086       5.65668774    
       40680   5.88856840       5.22324991       5.63996124    
       40740   5.92406654       5.22324991       5.62193727    
       40800   5.92702293       5.20981503       5.60536575    
       40860   5.92988634       5.20981503       5.59076977    
       40920   5.94911385       5.19510794       5.57655048    
       40980   5.95097780       5.19510794       5.56168127    
       41040   5.93043184       5.18334532       5.54759407    
       41100   5.90252256       5.18334532       5.53592014    
       41160   5.93418169       5.17261124       5.52571058    
       41220   5.95517778       5.17261124       5.51515532    
       41280   5.95643187       5.16573811       5.50363207    
       41340   5.97566652       5.16573811       5.49113035    
       41400   5.98604441       5.16049290       5.47974968    
       41460   5.99306679       5.16049290       5.46965933    
       41520   6.00748873       5.15660381       5.46052933    
       41580   6.00748873       5.15660381       5.45183468    
       41640   6.04746675       5.15259457       5.44445324    
       41700   6.09231091       5.15259457       5.44044685    
       41760   6.09231091       5.15209579       5.44098663    
       41820   6.09270477       5.15209579       5.44470167    
       41880   6.09318590       5.15970373       5.45050955    
       41940   6.08433342       5.15970373       5.45897150    
       42000   6.12646532       5.17798376       5.47121191    
       42060   6.13095236       5.17798376       5.48583221    
       42120   6.20485735       5.20623159       5.50180292    
       42180   6.26551151       5.20623159       5.51860046    
       42240   6.34874439       5.24353456       5.53438711    
       42300   6.36266661       5.24353456       5.55024481    
       42360   6.42995214       5.28502941       5.56601095    
       42420   6.45934868       5.28502941       5.58104134    
       42480   6.53839540       5.32127094       5.59530210    
       42540   6.55323792       5.32127094       5.60829020    
       42600   6.62261915       5.35590410       5.61970949    
       42660   6.66174412       5.35590410       5.62875462    
       42720   6.71097660       5.38710356       5.63521719    
       42780   6.80930233       5.38710356       5.63973713    
       42840   6.84759521       5.40984440       5.64262009    
       42900   6.89455795       5.40984440       5.64572477    
       42960   6.97544193       5.42181492       5.65009308    
       43020   7.03781414       5.42181492       5.65501547    
       43080   7.10621452       5.42699003       7.26387930    
       43140   7.12923241       5.42699003       7.30176973    
       43200   7.18013954       5.43565655       7.33929348    
       43260   7.22493029       5.43565655       7.37334633    
       43320   7.26838112       5.44847822       7.40316486    
       43380   7.25546503       5.44847822       7.43297577    
       43440   7.27400017       5.46020889       7.46106005    
       43500   7.31558132       5.46020889       7.48732185    
       43560   7.34404755       5.46537352       7.51149321    
       43620   7.34844208       5.46537352       7.53540897    
       43680   7.37713957       5.46403456       7.55836868    
       43740   7.42058134       5.46403456       7.57753706    
       43800   7.45388079       5.46225119       7.59812069    
       43860   7.48409319       5.46225119       7.61722088    
       43920   7.53916264       5.46346235       7.63656950    
       43980   7.60818624       5.46346235       7.65447283    
       44040   7.64333344       5.46659994       7.66977787    
       44100   7.67358160       5.46659994       7.68652439    
       44160   7.73313951       5.46694326       7.70390272    
       44220   7.79162788       5.46694326       7.71993113    
       44280   7.79162788       5.46499205       7.73518991    
       44340   7.84660482       5.46499205       7.74956274    
       44400   7.90530252       5.46298361       7.76314831    
       44460   7.90530252       5.46298361       7.77617168    
       44520   7.96839523       5.46090841       7.78688097    
       44580   8.03186035       5.46090841       7.79420280    
       44640   8.09897709       5.45947552       7.79932594    
       44700   8.09897709       5.45947552       7.80424881    
       44760   8.14086056       5.45273018       7.81035233    
       44820   8.13855839       5.45273018       7.81532049    
       44880   8.17013931       5.44066381       7.81762934    
       44940   8.17013931       5.44066381       7.81848431    
       45000   8.20734882       5.42517567       7.81979656    
       45060   8.25607014       5.42517567       7.82023239    
       45120   8.28502369       5.40905333       7.81966496    
       45180   8.32352352       5.40905333       7.81585550    
       45240   8.31665134       5.39187908       7.81083202    
       45300   8.32272053       5.39187908       7.80569220    
       45360   8.31083679       5.37630415       7.79892063    
       45420   8.31083679       5.37630415       7.78916931    
       45480   8.31672764       5.35734987       7.77697182    
       45540   8.33406639       5.35734987       7.76421070    
       45600   8.33067417       5.33138752       7.75029469    
       45660   8.34033298       5.33138752       7.73439932    
       45720   8.33106518       5.30185318       7.71693516    
       45780   8.32460022       5.30185318       7.69881201    
       45840   8.31077766       5.26934099       7.68005228    
       45900   8.30002213       5.26934099       7.66232681    
       45960   8.30436993       5.23470831       7.64527893    
       46020   8.32832623       5.23470831       7.62907982    
       46080   8.34242249       5.20024204       7.61299038    
       46140   8.29108906       5.20024204       7.59704256    
       46200   8.27734756       5.17040348       7.58372784    
       46260   8.26806641       5.17040348       7.57380009    
       46320   8.24753380       5.14327192       7.56649446    
       46380   8.23726654       5.14327192       7.56159019    
       46440   8.21190929       5.12658930       7.55862474    
       46500   8.20248890       5.12658930       7.55792665    
       46560   8.18224430       5.12207556       7.55906916    
       46620   8.15762234       5.12207556       7.56051731    
       46680   8.16495419       5.12650442       8.11483192    
       46740   8.12224483       5.12650442       8.10408688    
       46800   8.11028862       5.13844490       8.09481525    
       46860   8.12211323       5.13844490       8.08934307    
       46920   8.15634060       5.15385914       8.08513451    
       46980   8.15634060       5.15385914       8.07774448    
       47040   8.16975021       5.16946983       8.06842327    
       47100   8.19681835       5.16946983       8.05875397    
       47160   8.21060467       5.18529844       8.04740620    
       47220   8.17697716       5.18529844       8.03689671    
       47280   8.16093159       5.19898844       8.02493858    
       47340   8.16181850       5.19898844       8.01191425    
       47400   8.14634132       5.20986605       8.00066662    
       47460   8.14634132       5.20986605       7.98598099    
       47520   8.11259079       5.21714735       7.96924496    
       47580   8.06250000       5.21714735       7.95012426    
       47640   8.04539490       5.22126722       7.93214178    
       47700   8.02999973       5.22126722       7.91732979    
       47760   7.96761370       5.22357941       7.90162468    
       47820   7.93632555       5.22357941       7.88548422    
       47880   7.87355804       5.22416878       7.86877680    
       47940   7.84759092       5.22416878       7.85270834    
       48000   7.79777288       5.22404146       7.83597708    
       48060   7.74632549       5.22404146       7.81832886    
       48120   7.74338627       5.22495508       7.79847717    
       48180   7.70343161       5.22495508       7.78050184    
       48240   7.63909101       5.22517538       7.76484108    
       48300   7.60932541       5.22517538       7.74922657    
       48360   7.62988615       5.22233772       7.73161888    
       48420   7.64895439       5.22233772       7.71275043    
       48480   7.65238619       5.21759319       7.69744205    
       48540   7.63879061       5.21759319       7.68518734    
       48600   7.62461376       5.21632719       7.67327738    
       48660   7.58465910       5.21632719       7.66178513    
       48720   7.55513954       5.22154522       7.65149355    
       48780   7.49830246       5.22154522       7.64183712    
       48840   7.47415924       5.23210716       7.63340902    
       48900   7.46384096       5.23210716       7.62448549    
       48960   7.46320915       5.24691391       7.61402941    
       49020   7.45804644       5.24691391       7.60348129    
       49080   7.45529556       5.26240492       7.59325886    
       49140   7.42536354       5.26240492       7.58192778    
       49200   7.38648844       5.27278519       7.56927443    
       49260   7.40146494       5.27278519       7.55596209    
       49320   7.44543171       5.28141832       7.54191780    
       49380   7.48090887       5.28141832       7.52635336    
       49440   7.48090887       5.28356743       7.51085424    
       49500   7.52352285       5.28356743       7.49516010    
       49560   7.52397728       5.28021049       7.47985744    
       49620   7.50127888       5.28021049       7.46530533    
       49680   7.46951151       5.27422094       7.45174313    
       49740   7.49275017       5.27422094       7.43959761    
       49800   7.52234077       5.26744986       7.42864132    
       49860   7.51916265       5.26744986       7.41620398    
       49920   7.50940895       5.26216793       7.40161276    
       49980   7.53152275       5.26216793       7.38582134    
       50040   7.52927256       5.26023960       7.36886358    
       50100   7.52927256       5.26023960       7.35115433    
       50160   7.55095434       5.25068521       7.33226347    
       50220   7.55654526       5.25068521       7.31275845    
       50280   7.55741882       5.23371363       7.60869169    
       50340   7.57647705       5.23371363       7.63576555    
       50400   7.62134075       5.21238184       7.65665150    
       50460   7.62281418       5.21238184       7.67259550    
       50520   7.62786341       5.19034815       7.68437910    
       50580   7.60545444       5.19034815       7.69948626    
       50640   7.59711123       5.16981268       7.72113132    
       50700   7.61293316       5.16981268       7.74130058    
       50760   7.61884069       5.14970493       7.76148081    
       50820   7.63280010       5.14970493       7.78358650    
       50880   7.67008877       5.13335228       7.80384636    
       50940   7.68924999       5.13335228       7.82061625    
       51000   7.73261356       5.12062740       7.83546448    
       51060   7.75327253       5.12062740       7.84787321    
       51120   7.74793339       5.10923624       7.86403322    
       51180   7.75884104       5.10923624       7.88204193    
       51240   7.71563625       5.09848642       7.89754200    
       51300   7.67364454       5.09848642       7.91091394    
       51360   7.67926645       5.08921337       7.92193985    
       51420   7.71290922       5.08921337       7.93286514    
       51480   7.71290922       5.07931232       7.94369793    
       51540   7.72560453       5.07931232       7.95408916    
       51600   7.74928570       5.06790543       7.96375990    
       51660   7.75387812       5.06790543       7.97426033    
       51720   7.75387812       5.05548429       7.98467302    
       51780   7.75729990       5.05548429       7.99529505    
       51840   7.76841021       5.04045630       8.00300121    
       51900   7.79992104       5.04045630       8.00874329    
       51960   7.79992104       5.02350521       8.01639748    
       52020   7.78062153       5.02350521       8.02616787    
       52080   7.76800013       5.00677919       8.03483963    
       52140   7.78639984       5.00677919       8.04106140    
       52200   7.78639984       4.99396610       8.04638100    
       52260   7.80908823       4.99396610       8.05244541    
       52320   7.81373549       4.98213720       8.05673218    
       52380   7.81373549       4.98213720       8.05996609    
       52440   7.86658812       4.96766663       8.06218719    
       52500   7.87976456       4.96766663       8.06286812    
       52560   7.88147068       4.95211935       8.06275558    
       52620   7.86257124       4.95211935       8.06484795    
       52680   7.86335278       4.93607378       8.06743526    
       52740   7.84314728       4.93607378       8.06932926    
       52800   7.82967663       4.91773653       8.07020760    
       52860   7.81037140       4.91773653       8.07093811    
       52920   7.78061771       4.90128183       8.07171249    
       52980   7.70400000       4.90128183       8.07231712    
       53040   7.60732365       4.88583136       8.07279491    
       53100   7.58431435       4.88583136       8.07209206    
       53160   7.51132345       4.87154007       8.07026005    
       53220   7.44517660       4.87154007       8.06694412    
       53280   7.44780016       4.85882330       8.06176281    
       53340   7.42234278       4.85882330       8.05459213    
       53400   7.39088249       4.84419966       8.04624176    
       53460   7.41261768       4.84419966       8.03716660    
       53520   7.39411449       4.82589769       8.02806282    
       53580   7.39179993       4.82589769       8.01912498    
       53640   7.36350012       4.80587149       8.01032257    
       53700   7.36794138       4.80587149       8.00199413    
       53760   7.37337160       4.78556252       7.99444342    
       53820   7.32782841       4.78556252       7.98756838    
       53880   7.30211782       4.76899624       7.25937366    
       53940   7.28988552       4.76899624       7.23906612    
       54000   7.25297165       4.75612783       7.21794415    
       54060   7.22179985       4.75612783       7.19917631    
       54120   7.22179985       4.74798775       7.18361568    
       54180   7.22628593       4.74798775       7.16957188    
       54240   7.25680017       4.74053526       7.15385294    
       54300   7.28997135       4.74053526       7.13799238    
       54360   7.26864719       4.73158646       7.12169218    
       54420   7.28219986       4.73158646       7.10578537    
       54480   7.26957130       4.72626591       7.08982992    
       54540   7.26782846       4.72626591       7.07363701    
       54600   7.26782846       4.72262430       7.06234503    
       54660   7.22279978       4.72262430       7.05300522    
       54720   7.24154282       4.71963406       7.04547262    
       54780   7.25585699       4.71963406       7.03549242    
       54840   7.25585699       4.71924019       7.02274656    
       54900   7.34308577       4.71924019       7.00837946    
       54960   7.40622854       4.72044134       6.99173450    
       55020   7.44259977       4.72044134       6.97416162    
       55080   7.50458336       4.71801996       6.95730543    
       55140   7.50458336       4.71801996       6.94004583    
       55200   7.56475687       4.71011686       6.92088032    
       55260   7.59268427       4.71011686       6.90226650    
       55320   7.59753847       4.69896126       6.88458633    
       55380   7.59753847       4.69896126       6.86786556    
       55440   7.60332489       4.68644619       6.85187960    
       55500   7.59173155       4.68644619       6.83706951    
       55560   7.59173155       4.67558670       6.82325268    
       55620   7.57190466       4.67558670       6.80977726    
       55680   7.55158138       4.66790152       6.79706240    
       55740   7.54306841       4.66790152       6.78536749    
       55800   7.54306841       4.66087389       6.77221346    
       55860   7.50693321       4.66087389       6.75923634    
       55920   7.48769569       4.65475988       6.74818802    
       55980   7.48532629       4.65475988       6.73817873    
       56040   7.46195745       4.64743519       6.72573471    
       56100   7.46600008       4.64743519       6.71151781    
       56160   7.46339130       4.63988400       6.69691706    
       56220   7.46280432       4.63988400       6.68223953    
       56280   7.46820021       4.62637711       6.66629362    
       56340   7.47721720       4.62637711       6.65040207    
       56400   7.49928284       4.60912848       6.63441467    
       56460   7.53393459       4.60912848       6.61905575    
       56520   7.54237795       4.59297180       6.60458755    
       56580   7.57986975       4.59297180       6.59103346    
       56640   7.60997820       4.57706070       6.57893324    
       56700   7.66565228       4.57706070       6.56802177    
       56760   7.68484449       4.56342316       6.55827427    
       56820   7.69617414       4.56342316       6.54966211    
       56880   7.71539116       4.55413151       6.54226208    
       56940   7.71935558       4.55413151       6.53617382    
       57000   7.72870445       4.54831171       6.53152514    
       57060   7.72870445       4.54831171       6.52806091    
       57120   7.70855808       4.54719114       6.52564144    
       57180   7.73102379       4.54719114       6.52374935    
       57240   7.74863434       4.55054951       6.52244902    
       57300   7.74863434       4.55054951       6.52131701    
       57360   7.75262499       4.55772543       6.52004528    
       57420   7.75761557       4.55772543       6.51880598    
       57480   7.77365780       4.56672668       7.81094742    
       57540   7.77365780       4.56672668       7.82258606    
       57600   7.79797316       4.57422876       7.83330488    
       57660   7.81724977       4.57422876       7.84352160    
       57720   7.83699989       4.57943296       7.85283899    
       57780   7.83699989       4.57943296       7.85879755    
       57840   7.83214712       4.58051109       7.86309910    
       57900   7.82803011       4.58051109       7.86520195    
       57960   7.81043768       4.57928467       7.86517191    
       58020   7.81043768       4.57928467       7.86440706    
       58080   7.81261301       4.57489586       7.86202192    
       58140   7.81286669       4.57489586       7.85820770    
       58200   7.79441357       4.56547356       7.85540533    
       58260   7.79441357       4.56547356       7.85035086    
       58320   7.81110716       4.55214214       7.84292030    
       58380   7.78166676       4.55214214       7.83552122    
       58440   7.77273083       4.53612185       7.82876492    
       58500   7.77273083       4.53612185       7.82294273    
       58560   7.76592016       4.51727533       7.81872988    
       58620   7.75466681       4.51727533       7.81563187    
       58680   7.70513058       4.49773216       7.81297588    
       58740   9999.00000       4.49773216       7.81011057    
       58800   9999.00000       4.48140049       7.80729485    
       58860   9999.00000       4.48140049       7.80611897    
       58920   9999.00000       4.47025490       7.80507803    
       58980   9999.00000       4.47025490       7.80396175    
       59040   9999.00000       4.46312761       7.80181980    
       59100   9999.00000       4.46312761       7.79782772    
       59160   9999.00000       4.45658684       7.79313993    
       59220   9999.00000       4.45658684       7.78867483    
       59280   9999.00000       4.44808149       7.78245878    
       59340   9999.00000       4.44808149       7.77503538    
       59400   9999.00000       4.43849182       7.76786947    
       59460   9999.00000       4.43849182       7.76291656    
       59520   9999.00000       4.43153429       7.75697994    
       59580   9999.00000       4.43153429       7.74856472    
       59640   9999.00000       4.42594099       7.73913002    
       59700   9999.00000       4.42594099       7.73129034    
       59760   9999.00000       4.42018986       7.72464752    
       59820   9999.00000       4.42018986       7.71827126    
       59880   9999.00000       4.41224480       7.71172810    
       59940   9999.00000       4.41224480       7.70455647    
       60000   9999.00000       4.40805817       7.69621086    
       60060   9999.00000       4.40805817       7.68728018    
       60120   9999.00000       4.40479660       7.67765379    
       60180   9999.00000       4.40479660       7.66680098    
       60240   9999.00000       4.39605427       7.65513515    
       60300   9999.00000       4.39605427       7.64235878    
       60360   9999.00000       4.38519907       7.62882996    
       60420   9999.00000       4.38519907       7.61439371    
       60480   9999.00000       4.37190056       7.59913158    
       60540   9999.00000       4.37190056       7.58290577    
       60600   9999.00000       4.35561562       7.56529713    
       60660   9999.00000       4.35561562       7.54616451    
       60720   9999.00000       4.33602238       7.52585077    
       60780   9999.00000       4.33602238       7.50441980    
       60840   9999.00000       4.31127453       7.48194885    
       60900   9999.00000       4.31127453       7.45848989    
       60960   9999.00000       4.28295708       7.43421984    
