 20181226
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       50760   9.56111622       8.41491127       8.10799980    
       50820   9.56111622       8.41491127       8.10799980    
       50880   9.59150028       8.40618992       8.10799980    
       50940   9.53193378       8.40618992       8.10799980    
       51000   9.46660042       8.38946247       8.10799980    
       51060   9.45245457       8.38946247       8.10799980    
       51120   9.37079525       8.36988544       8.10799980    
       51180   9.34980011       8.36988544       8.10799980    
       51240   9.27462196       8.36174583       8.10799980    
       51300   9.20945454       8.36174583       8.10799980    
       51360   9.15615940       8.35270500       8.10799980    
       51420   9.11333370       8.35270500       8.10799980    
       51480   9.06262207       8.32452965       8.10799980    
       51540   9.04109097       8.32452965       8.10799980    
       51600   9.01411343       8.29379177       8.10799980    
       51660   9.01411343       8.29379177       8.10799980    
       51720   9.01055813       8.26762867       8.10799980    
       51780   8.98802280       8.26762867       8.10799980    
       51840   8.98546505       8.23920727       8.10799980    
       51900   8.99704552       8.23920727       8.10799980    
       51960   8.96060467       8.21984005       8.10799980    
       52020   8.92826176       8.21984005       8.10799980    
       52080   8.90312195       8.20335579       8.10799980    
       52140   8.90312195       8.20335579       8.10799980    
       52200   8.89369965       8.17931080       8.10799980    
       52260   8.91384602       8.17931080       8.10799980    
       52320   8.93236828       8.15378094       8.10799980    
       52380   8.93236828       8.15378094       8.10799980    
       52440   8.93667603       8.13640499       8.10799980    
       52500   8.89011097       8.13640499       8.10799980    
       52560   8.89011097       8.11689758       8.10799980    
       52620   8.89011097       8.11689758       8.10799980    
       52680   8.85857105       8.08475685       8.10799980    
       52740   8.85857105       8.08475685       8.10799980    
       52800   8.84255886       8.05157948       8.10799980    
       52860   8.84206104       8.05157948       8.10799980    
       52920   8.93062496       8.02691269       8.10799980    
       52980   8.93062496       8.02691269       8.10799980    
       53040   9.04270935       8.01287460       8.10799980    
       53100   9.15550041       8.01287460       8.10799980    
       53160   9.20682716       7.99216032       8.10799980    
       53220   9.20682716       7.99216032       8.10799980    
       53280   9.27557182       7.95523167       8.10799980    
       53340   9.30637074       7.95523167       8.10799980    
       53400   9.26834583       7.91257429       8.10799980    
       53460   9.26834583       7.91257429       8.10799980    
       53520   9.24155998       7.87325382       8.10799980    
       53580   9.17195797       7.87325382       8.10799980    
       53640   9.12904358       7.82978106       8.10799980    
       53700   9.12904358       7.82978106       8.10799980    
       53760   9999.00000       7.79513788       8.10799980    
       53820   9999.00000       7.79513788       8.10799980    
