 20180902
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
       20160   1.00286210      0.743306935      0.984000027    
       20220   1.00310719      0.743306935      0.984000027    
       20280   1.00093102      0.738045394      0.984000027    
       20340  0.998758614      0.738045394      0.984000027    
       20400  0.998571455      0.732051671      0.984000027    
       20460  0.998571455      0.732051671      0.984000027    
       20520  0.996607125      0.726554692      0.984000027    
       20580  0.997517228      0.726554692      0.984000027    
       20640  0.995142877      0.721218407      0.984000027    
       20700  0.995142877      0.721218407      0.984000027    
       20760  0.993285716      0.714888096      0.984000027    
       20820  0.991724133      0.714888096      0.984000027    
       20880  0.991724133      0.708275139      0.984000027    
       20940  0.991607130      0.708275139      0.984000027    
       21000  0.989965498      0.701565206      0.984000027    
       21060  0.989678562      0.701565206      0.984000027    
       21120  0.987571418      0.695730567      0.984000027    
       21180  0.987571418      0.695730567      0.984000027    
       21240  0.986071408      0.689736426      0.984000027    
       21300  0.986071408      0.689736426      0.984000027    
       21360  0.986071408      0.684165537      0.984000027    
       21420  0.989206910      0.684165537      0.984000027    
       21480  0.984749973      0.679535210      0.948000014    
       21540  0.984749973      0.679535210      0.948000014    
       21600  0.983655155      0.675335646      0.948000014    
       21660  0.983310342      0.675335646      0.948000014    
       21720  0.983310342      0.670658708      0.948000014    
       21780  0.982758641      0.670658708      0.948000014    
       21840  0.983428597      0.666163504      0.948000014    
       21900  0.983428597      0.666163504      0.948000014    
       21960  0.982714295      0.662470996      0.948000014    
       22020  0.982714295      0.662470996      0.948000014    
       22080  0.981137931      0.658501267      0.948000014    
       22140  0.979586184      0.658501267      0.948000014    
       22200  0.979571402      0.654095411      0.948000014    
       22260  0.979571402      0.654095411      0.948000014    
       22320  0.982413769      0.650004029      0.948000014    
       22380  0.977724135      0.650004029      0.948000014    
       22440  0.974321425      0.645690560      0.948000014    
       22500  0.972310364      0.645690560      0.948000014    
       22560  0.971964300      0.640827894      0.948000014    
       22620  0.971964300      0.640827894      0.948000014    
       22680  0.970103443      0.635317981      0.948000014    
       22740  0.969714284      0.635317981      0.948000014    
       22800  0.967724144      0.630066812      0.948000014    
       22860  0.965517223      0.630066812      0.948000014    
       22920  0.965517223      0.625263870      0.948000014    
       22980  0.962827563      0.625263870      0.948000014    
       23040  0.962321401      0.621376753      0.948000014    
       23100  0.962321401      0.621376753      0.948000014    
       23160  0.962321401      0.617632866      0.948000014    
       23220  0.964137912      0.617632866      0.948000014    
       23280  0.959500015      0.614054024      0.948000014    
       23340  0.959500015      0.614054024      0.948000014    
       23400  0.959500015      0.611299336      0.948000014    
       23460  0.956857145      0.611299336      0.948000014    
       23520  0.957148135      0.608241796      0.948000014    
       23580  0.957148135      0.608241796      0.948000014    
       23640  0.955148160      0.604887962      0.948000014    
       23700  0.955148160      0.604887962      0.948000014    
       23760  0.953740716      0.602035761      0.948000014    
       23820  0.953740716      0.602035761      0.948000014    
       23880  0.953740716      0.598878205      0.948000014    
       23940  0.954269230      0.598878205      0.948000014    
       24000  0.954879999      0.595471144      0.948000014    
       24060  0.954879999      0.595471144      0.948000014    
       24120  0.954879999      0.592514217      0.948000014    
       24180  0.949999988      0.592514217      0.948000014    
       24240  0.946826100      0.589230955      0.948000014    
       24300  0.944374979      0.589230955      0.948000014    
       24360  0.944374979      0.586195290      0.948000014    
       24420  0.944304347      0.586195290      0.948000014    
       24480  0.941565216      0.583796561      0.948000014    
       24540  0.941565216      0.583796561      0.948000014    
       24600  0.938958347      0.581474304      0.948000014    
       24660  0.938739121      0.581474304      0.948000014    
       24720  0.936291695      0.579608321      0.948000014    
       24780  0.935869575      0.579608321      0.948000014    
       24840  0.933166683      0.577875853      0.948000014    
       24900  0.932130456      0.577875853      0.948000014    
       24960  0.932130456      0.576297700      0.948000014    
       25020  0.935458362      0.576297700      0.948000014    
       25080  0.929304361      0.574672461      0.909250021    
       25140  0.929304361      0.574672461      0.909250021    
       25200  0.927333355      0.572432637      0.909250021    
       25260  0.926217377      0.572432637      0.909250021    
       25320  0.923304319      0.570074439      0.909250021    
       25380  0.921541691      0.570074439      0.909250021    
       25440  0.920434773      0.567906201      0.909250021    
