 20180817
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       24180   4.44163942       5.83951664       3.82999992    
       24240   4.44000006       5.81149769       3.82999992    
       24300   4.44278669       5.77961397       3.82999992    
       24360   4.43737698       5.74211884       3.82999992    
       24420   4.43295097       5.69889116       3.82999992    
       24480   4.42557383       5.65039778       3.82999992    
       24540   4.41196728       5.59681988       3.82999992    
       24600   4.39983606       5.53844547       3.82999992    
       24660   4.38590145       5.47537041       3.82999992    
       24720   4.37721300       5.40701914       3.82999992    
       24780   4.36754084       5.33298922       3.82999992    
       24840   4.34868860       5.25385571       3.82999992    
       24900   4.33016396       5.17122602       3.82999992    
       24960   4.31180334       5.08736801       3.82999992    
       25020   4.29737711       5.00445843       3.82999992    
       25080   4.28426218       4.92376709       3.82999992    
       25140   4.26901627       4.84578800       3.82999992    
       25200   4.25311470       4.77107430       4.42999983    
       25260   4.24327850       4.70044994       4.42999983    
       25320   4.22803259       4.63473463       4.42999983    
       25380   4.22065592       4.57461119       4.42999983    
       25440   4.20704937       4.52048254       4.42999983    
       25500   4.19475412       4.47189903       4.42999983    
       25560   4.18704939       4.42749977       4.42999983    
       25620   4.18049192       4.38596487       4.42999983    
       25680   4.17344284       4.34694338       4.42999983    
       25740   4.16360664       4.31102562       4.42999983    
       25800   4.15672112       4.27894640       4.42999983    
       25860   4.14606571       4.25091791       4.42999983    
       25920   4.12836075       4.22682619       4.42999983    
       25980   4.11573792       4.20662928       4.42999983    
       26040   4.10245895       4.19027185       4.42999983    
       26100   4.09262276       4.17745590       4.42999983    
       26160   4.08508205       4.16746330       4.42999983    
       26220   4.07688522       4.15915537       4.42999983    
       26280   4.06819677       4.15112448       4.42999983    
       26340   4.05622959       4.14199114       4.42999983    
       26400   4.05704927       4.13075972       4.42999983    
       26460   4.04688501       4.11723804       4.42999983    
       26520   4.03655720       4.10201502       4.42999983    
       26580   4.02672148       4.08626699       4.42999983    
       26640   4.01852465       4.07159376       4.42999983    
       26700   4.01278687       4.05962849       4.42999983    
       26760   4.00721312       4.05138063       4.42999983    
       26820   3.99737716       4.04689741       4.42999983    
       26880   3.99737716       4.04539680       4.42999983    
       26940   4.00262308       4.04539633       4.42999983    
       27000   4.01409817       4.04505253       4.42999983    
       27060   4.01934433       4.04305840       4.42999983    
       27120   4.02983618       4.03900146       4.42999983    
       27180   4.04295063       4.03297043       4.42999983    
       27240   4.05639362       4.02530909       4.42999983    
       27300   4.06704903       4.01640272       4.42999983    
       27360   4.07442617       4.00639820       4.42999983    
       27420   4.08311462       3.99512196       4.42999983    
       27480   4.10131168       3.98255372       4.42999983    
       27540   4.11934423       3.96948171       4.42999983    
       27600   4.14803267       3.95765162       4.42999983    
       27660   4.17999983       3.94937444       4.42999983    
       27720   4.20704937       3.94671392       4.42999983    
       27780   4.22540998       3.95067430       4.42999983    
       27840   4.23475409       3.96086121       4.42999983    
       27900   4.24213123       3.97575355       4.42999983    
       27960   4.25442600       3.99337983       4.42999983    
       28020   4.26754093       4.01188135       4.42999983    
       28080   4.27524567       4.02984524       4.42999983    
       28140   4.28409815       4.04635382       4.42999983    
       28200   4.29688501       4.06091499       4.42999983    
       28260   4.31114769       4.07331181       4.42999983    
       28320   4.32918024       4.08357477       4.42999983    
       28380   4.34557390       4.09211731       4.42999983    
       28440   4.35934448       4.09966898       4.42999983    
       28500   4.37622929       4.10694408       4.42999983    
       28560   4.39229488       4.11432457       4.42999983    
       28620   4.40868855       4.12169647       4.42999983    
       28680   4.42508173       4.12850046       4.42999983    
       28740   4.44557381       4.13382101       4.42999983    
       28800   4.46819687       4.13659096       3.95000005    
       28860   4.48540974       4.13598013       3.95000005    
       28920   4.50229502       4.13170338       3.95000005    
       28980   4.52491808       4.12407494       3.95000005    
       29040   4.53803301       4.11406422       3.95000005    
       29100   4.55655718       4.10349417       3.95000005    
       29160   4.57213116       4.09484816       3.95000005    
       29220   4.58606577       4.09034443       3.95000005    
       29280   4.60245895       4.09083939       3.95000005    
       29340   4.61852455       4.09531116       3.95000005    
       29400   4.63573790       4.10148954       3.95000005    
       29460   4.64475393       4.10700274       3.95000005    
       29520   4.65245914       4.10989523       3.95000005    
       29580   4.66770506       4.10871649       3.95000005    
       29640   4.67590141       4.10263538       3.95000005    
       29700   4.68786907       4.09157801       3.95000005    
       29760   4.69573784       4.07647514       3.95000005    
       29820   4.70327854       4.05956936       3.95000005    
       29880   4.71557379       4.04429102       3.95000005    
       29940   4.72983599       4.03408480       3.95000005    
       30000   4.74590158       4.03079796       3.95000005    
       30060   4.74622965       4.03398514       3.95000005    
       30120   4.75590181       4.04152393       3.95000005    
       30180   4.76540995       4.05054045       3.95000005    
       30240   4.77524567       4.05794144       3.95000005    
       30300   4.79524612       4.06087208       3.95000005    
       30360   4.81196737       4.05739307       3.95000005    
       30420   4.82262278       4.04717779       3.95000005    
       30480   4.83737707       4.03177977       3.95000005    
       30540   4.84967232       4.01409292       3.95000005    
       30600   4.85458994       3.99726486       3.95000005    
       30660   4.85377026       3.98365998       3.95000005    
       30720   4.85704899       3.97462535       3.95000005    
       30780   4.85704899       3.97079611       3.95000005    
       30840   4.85540962       3.97211790       3.95000005    
       30900   4.85754108       3.97774243       3.95000005    
       30960   4.85901642       3.98665667       3.95000005    
       31020   4.86360645       3.99840403       3.95000005    
       31080   4.86524582       4.01261330       3.95000005    
       31140   4.86524582       4.02832794       3.95000005    
       31200   4.86721325       4.04425287       3.95000005    
       31260   4.86459017       4.05932713       3.95000005    
       31320   4.86377048       4.07245493       3.95000005    
       31380   4.85934448       4.08190107       3.95000005    
       31440   4.85327864       4.08628225       3.95000005    
       31500   4.84770489       4.08628368       3.95000005    
       31560   4.83786869       4.08406687       3.95000005    
       31620   4.82278681       4.08131409       3.95000005    
       31680   4.80836058       4.07873631       3.95000005    
       31740   4.79245901       4.07693148       3.95000005    
       31800   4.77573776       4.07686949       3.95000005    
       31860   4.76213121       4.07998419       3.95000005    
       31920   4.74819660       4.08809471       3.95000005    
       31980   4.73147535       4.10302687       3.95000005    
       32040   4.71590185       4.12587976       3.95000005    
       32100   4.70704937       4.15622091       3.95000005    
       32160   4.69590187       4.19203472       3.95000005    
       32220   4.68147564       4.23061085       3.95000005    
       32280   4.67081976       4.26940584       3.95000005    
       32340   4.65442610       4.30670977       3.95000005    
       32400   4.63557386       4.34193039       4.71999979    
       32460   4.61999989       4.37517977       4.71999979    
       32520   4.60278702       4.40661669       4.71999979    
       32580   4.57934427       4.43595695       4.71999979    
       32640   4.55147552       4.46241951       4.71999979    
       32700   4.53147554       4.48513269       4.71999979    
       32760   4.50934410       4.50354052       4.71999979    
       32820   4.48852444       4.51748514       4.71999979    
       32880   4.46360636       4.52740002       4.71999979    
       32940   4.43459034       4.53443241       4.71999979    
       33000   4.40426207       4.53970242       4.71999979    
       33060   4.38081980       4.54360867       4.71999979    
       33120   4.35688543       4.54640150       4.71999979    
       33180   4.33409834       4.54903841       4.71999979    
       33240   4.31065559       4.55329943       4.71999979    
       33300   4.28934431       4.56125879       4.71999979    
       33360   4.26426220       4.57428169       4.71999979    
       33420   4.24606562       4.59189558       4.71999979    
       33480   4.23049164       4.61125660       4.71999979    
       33540   4.21081972       4.62808752       4.71999979    
       33600   4.18803263       4.63872433       4.71999979    
       33660   4.16704941       4.64167404       4.71999979    
       33720   4.14901638       4.63759279       4.71999979    
       33780   4.13229513       4.62856245       4.71999979    
       33840   4.11180305       4.61769772       4.71999979    
       33900   4.09131145       4.60855865       4.71999979    
       33960   4.06721306       4.60438776       4.71999979    
       34020   4.04557371       4.60730124       4.71999979    
       34080   4.03442621       4.61774826       4.71999979    
       34140   4.01721334       4.63446951       4.71999979    
       34200   4.00262308       4.65506268       4.71999979    
       34260   3.98426223       4.67683792       4.71999979    
       34320   3.96590161       4.69737244       4.71999979    
       34380   3.94918036       4.71467686       4.71999979    
       34440   3.93491793       4.72753429       4.71999979    
       34500   3.91852450       4.73597240       4.71999979    
       34560   3.89311481       4.74076509       4.71999979    
       34620   3.86327863       4.74239445       4.71999979    
       34680   3.83704925       4.74101591       4.71999979    
       34740   3.81278682       4.73684931       4.71999979    
       34800   3.78819680       4.72975397       4.71999979    
       34860   3.76163936       4.71874142       4.71999979    
       34920   3.73885250       4.70308781       4.71999979    
       34980   3.71754098       4.68395996       4.71999979    
       35040   3.70114756       4.66372967       4.71999979    
       35100   3.67983603       4.64360285       4.71999979    
       35160   3.65639353       4.62339163       4.71999979    
       35220   3.63459015       4.60312653       4.71999979    
       35280   3.61049175       4.58330870       4.71999979    
       35340   3.59213114       4.56397247       4.71999979    
       35400   3.58016396       4.54444265       4.71999979    
       35460   3.56131148       4.52380371       4.71999979    
       35520   3.54901648       4.50114107       4.71999979    
       35580   3.53229499       4.47562075       4.71999979    
       35640   3.52557373       4.44679785       4.71999979    
       35700   3.51868844       4.41501713       4.71999979    
       35760   3.51573777       4.38148451       4.71999979    
       35820   3.51213121       4.34817219       4.71999979    
       35880   3.51098371       4.31732035       4.71999979    
       35940   3.50852466       4.29009438       4.71999979    
       36000   3.50737715       4.26591110       4.80000019    
       36060   3.50377059       4.24332285       4.80000019    
       36120   3.49967217       4.22123289       4.80000019    
       36180   3.49967217       4.19930267       4.80000019    
       36240   3.49688530       4.17756653       4.80000019    
       36300   3.49901628       4.15593910       4.80000019    
       36360   3.50622940       4.13379669       4.80000019    
       36420   3.50983596       4.10993910       4.80000019    
       36480   3.51393437       4.08306217       4.80000019    
       36540   3.52081966       4.05245161       4.80000019    
       36600   3.52934432       4.01871729       4.80000019    
       36660   3.54131150       3.98374557       4.80000019    
       36720   3.54999995       3.94960976       4.80000019    
       36780   3.56573772       3.91759658       4.80000019    
       36840   3.58377051       3.88791442       4.80000019    
       36900   3.59688520       3.85971212       4.80000019    
       36960   3.61573768       3.83135700       4.80000019    
       37020   3.63754106       3.80137849       4.80000019    
       37080   3.65327859       3.76989007       4.80000019    
       37140   3.66590166       3.73898101       4.80000019    
       37200   3.67868853       3.71129012       4.80000019    
       37260   3.69262290       3.68813348       4.80000019    
       37320   3.70491815       3.66892791       4.80000019    
       37380   3.71442628       3.65206242       4.80000019    
       37440   3.72262287       3.63601303       4.80000019    
       37500   3.73196721       3.62000251       4.80000019    
       37560   3.73852468       3.60416818       4.80000019    
       37620   3.74426222       3.58938766       4.80000019    
       37680   3.75032783       3.57673430       4.80000019    
       37740   3.75032783       3.56677413       4.80000019    
       37800   3.75852466       3.55916929       4.80000019    
       37860   3.76180339       3.55281782       4.80000019    
       37920   3.77442622       3.54650259       4.80000019    
       37980   3.78950810       3.53972864       4.80000019    
       38040   3.80081964       3.53292561       4.80000019    
       38100   3.81065583       3.52692056       4.80000019    
       38160   3.82377052       3.52228832       4.80000019    
       38220   3.84508204       3.51916075       4.80000019    
       38280   3.87131143       3.51733279       4.80000019    
       38340   3.89180326       3.51640391       4.80000019    
       38400   3.91360664       3.51612425       4.80000019    
       38460   3.93491793       3.51669121       4.80000019    
       38520   3.95672131       3.51840878       4.80000019    
       38580   3.98622942       3.52137804       4.80000019    
       38640   4.01295090       3.52554870       4.80000019    
       38700   4.03344250       3.53092408       4.80000019    
       38760   4.05918026       3.53736186       4.80000019    
       38820   4.08180332       3.54422045       4.80000019    
       38880   4.11295080       3.55050445       4.80000019    
       38940   4.14163923       3.55549359       4.80000019    
       39000   4.16672134       3.55917478       4.80000019    
       39060   4.18852472       3.56205153       4.80000019    
       39120   4.22049189       3.56453514       4.80000019    
       39180   4.24393463       3.56626177       4.80000019    
       39240   4.27344275       3.56592202       4.80000019    
       39300   4.28999996       3.56214809       4.80000019    
       39360   4.30508184       3.55501032       4.80000019    
       39420   4.31540966       3.54634023       4.80000019    
       39480   4.32721329       3.53820992       4.80000019    
       39540   4.34229517       3.53133631       4.80000019    
       39600   4.35131168       3.52533007       3.63000011    
       39660   4.36639357       3.52011037       3.63000011    
       39720   4.38475418       3.51589656       3.63000011    
       39780   4.40573788       3.51241398       3.63000011    
       39840   4.42491817       3.50922608       3.63000011    
       39900   4.44868851       3.50651336       3.63000011    
       39960   4.46901655       3.50531769       3.63000011    
       40020   4.48098373       3.50712895       3.63000011    
       40080   4.50114775       3.51298714       3.63000011    
       40140   4.52032804       3.52265024       3.63000011    
       40200   4.54032803       3.53444576       3.63000011    
       40260   4.55885267       3.54632998       3.63000011    
       40320   4.57475424       3.55709243       3.63000011    
       40380   4.58836079       3.56617117       3.63000011    
       40440   4.59737682       3.57273078       3.63000011    
       40500   4.60344267       3.57543945       3.63000011    
       40560   4.61081982       3.57320404       3.63000011    
       40620   4.61639357       3.56579256       3.63000011    
       40680   4.61639357       3.55356455       3.63000011    
       40740   4.62409830       3.53712773       3.63000011    
       40800   4.63032770       3.51755381       3.63000011    
       40860   4.64016390       3.49660063       3.63000011    
       40920   4.64295101       3.47624993       3.63000011    
       40980   4.65524578       3.45775294       3.63000011    
       41040   4.67573786       3.44106841       3.63000011    
       41100   4.69540977       3.42521071       3.63000011    
       41160   4.71967220       3.40875435       3.63000011    
       41220   4.74016380       3.38989782       3.63000011    
       41280   4.75901651       3.36671066       3.63000011    
       41340   4.78442621       3.33802891       3.63000011    
       41400   4.81147528       3.30429864       3.63000011    
       41460   4.83278704       3.26749110       3.63000011    
       41520   4.86147547       3.23018551       3.63000011    
       41580   4.87754107       3.19431615       3.63000011    
       41640   4.89311457       3.16038060       3.63000011    
       41700   4.91655731       3.12783265       3.63000011    
       41760   4.93672132       3.09592390       3.63000011    
       41820   4.95852470       3.06424880       3.63000011    
       41880   4.97934437       3.03318691       3.63000011    
       41940   4.99934435       3.00510025       3.63000011    
       42000   5.02344275       2.98319912       3.63000011    
       42060   5.04475403       2.96773481       3.63000011    
       42120   5.06606579       2.95654869       3.63000011    
       42180   5.08983612       2.94755030       3.63000011    
       42240   5.10213137       2.93903184       3.63000011    
       42300   5.11442614       2.92922497       3.63000011    
       42360   5.12983608       2.91706705       3.63000011    
       42420   5.14786863       2.90280867       3.63000011    
       42480   5.16786861       2.88768649       3.63000011    
       42540   5.17901659       2.87319613       3.63000011    
       42600   5.19409847       2.86046696       3.63000011    
       42660   5.20508194       2.85003591       3.63000011    
       42720   5.22016382       2.84224725       3.63000011    
