 20181009
 Seconds  Measures(PWV-mm)  Meso-NH(PWV-mm)  FORECAST_AR(PWV-mm)
       19980   4.82148266       4.20238256       4.83021784    
       20040   4.82096434       4.19494867       4.82863140    
       20100   4.81855154       4.19494867       4.82581902    
       20160   4.81855154       4.18546391       4.82260418    
       20220   4.81589270       4.18546391       4.81972218    
       20280   4.81346416       4.17551517       4.81741238    
       20340   4.81199980       4.17551517       4.81556177    
       20400   4.81199980       4.16439056       4.81311607    
       20460   4.82931042       4.16439056       4.81020975    
       20520   4.82931042       4.15192223       4.80623865    
       20580   4.83813334       4.15192223       4.80281734    
       20640   4.83775854       4.14128876       4.79930878    
       20700   4.84060001       4.14128876       4.79573345    
       20760   4.84096575       4.13104248       4.79141140    
       20820   4.84523344       4.13104248       4.78747177    
       20880   4.84634495       4.11969948       4.78430557    
       20940   4.84634495       4.11969948       4.78124142    
       21000   4.85213804       4.10909605       4.77924633    
       21060   4.85213804       4.10909605       4.77787113    
       21120   4.85430002       4.09714460       4.77726412    
       21180   4.86223316       4.09714460       4.77740097    
       21240   4.86223316       4.08885479       4.77747965    
       21300   4.86437941       4.08885479       4.77703571    
       21360   4.86246443       4.08520699       4.77536345    
       21420   4.89324141       4.08520699       4.77328444    
       21480   4.88514280       4.08432865       4.92987633    
       21540   4.88514280       4.08432865       4.93631124    
       21600   4.89934492       4.08388710       4.94214249    
       21660   4.91699982       4.08388710       4.94850731    
       21720   4.91849995       4.08118105       4.95441103    
       21780   4.91849995       4.08118105       4.95912266    
       21840   4.93360710       4.07656860       4.96374941    
       21900   4.94931030       4.07656860       4.96802092    
       21960   4.94931030       4.07041407       4.97314548    
       22020   4.96786213       4.07041407       4.97975492    
       22080   4.96786213       4.06260443       4.98837376    
       22140   4.98520708       4.06260443       4.99841785    
       22200   4.98974991       4.05545139       5.00763464    
       22260   4.98974991       4.05545139       5.01629305    
       22320   4.98588896       4.05192995       5.02296352    
       22380   5.01282120       4.05192995       5.02901030    
       22440   5.02140760       4.05238962       5.03443861    
       22500   5.02140760       4.05238962       5.04051352    
       22560   5.03482151       4.05559826       5.04735136    
       22620   5.05148125       4.05559826       5.05524588    
       22680   5.06421423       4.05680990       5.06347370    
       22740   5.09432125       4.05680990       5.07091904    
       22800   5.11170387       4.05609083       5.07724428    
       22860   5.12360716       4.05609083       5.08299637    
       22920   5.12360716       4.05881691       5.08897924    
       22980   5.13670349       4.05881691       5.09530926    
       23040   5.15829611       4.06326914       5.10126114    
       23100   5.17364264       4.06326914       5.10655642    
       23160   5.17364264       4.06495667       5.11009312    
       23220   5.20527601       4.06495667       5.11358690    
       23280   5.20578575       4.06535816       5.11630201    
       23340   5.20578575       4.06535816       5.11934948    
       23400   5.22137928       4.06486750       5.12316465    
       23460   5.25651741       4.06486750       5.12794828    
       23520   5.27839279       4.06447887       5.13303947    
       23580   5.29099989       4.06447887       5.13841724    
       23640   5.31349993       4.06273699       5.14296341    
       23700   5.31349993       4.06273699       5.14653969    
       23760   5.34492874       4.06451559       5.15030909    
       23820   5.34492874       4.06451559       5.15421867    
       23880   5.35510349       4.06804848       5.15790462    
       23940   5.38417244       4.06804848       5.16128016    
       24000   5.40607166       4.06946421       5.16303015    
       24060   5.40607166       4.06946421       5.16419029    
       24120   5.41192579       4.07193851       5.16483736    
       24180   5.42828560       4.07193851       5.16617870    
       24240   5.44066668       4.07238579       5.16715765    
       24300   5.45025015       4.07238579       5.16825485    
       24360   5.46977758       4.07041740       5.16987801    
       24420   5.47849989       4.07041740       5.17234325    
       24480   5.49737024       4.07034588       5.17666721    
       24540   5.50446415       4.07034588       5.18218040    
       24600   5.50446415       4.06934452       5.18696404    
       24660   5.52544451       4.06934452       5.19035006    
       24720   5.53328562       4.07085943       5.19282103    
       24780   5.55611134       4.07085943       5.19468355    
       24840   5.58225918       4.08021641       5.19619274    
       24900   5.59364271       4.08021641       5.19794035    
       24960   5.59364271       4.08773851       5.19787645    
       25020   5.61341381       4.08773851       5.19707251    
       25080   5.60835695       4.09086752       5.63066530    
       25140   5.60835695       4.09086752       5.63749218    
       25200   5.61365509       4.09344435       5.64476776    
       25260   5.62996531       4.09344435       5.65278625    
       25320   5.64103556       4.09247923       5.66047573    
       25380   5.64558601       4.09247923       5.66853380    
       25440   5.64558601       4.09216118       5.67743492    
       25500   5.66065502       4.09216118       5.68622494    
       25560   5.67035723       4.09451103       5.69433403    
       25620   5.67199993       4.09451103       5.70159912    
       25680   5.67964268       4.09965897       5.70810461    
       25740   5.67964268       4.09965897       5.71366787    
       25800   5.69192839       4.11005497       5.71775961    
       25860   5.70758629       4.11005497       5.72221851    
       25920   5.70758629       4.11795330       5.72555590    
       25980   5.72106647       4.11795330       5.72988224    
       26040   5.72041368       4.12226725       5.73455334    
       26100   5.72041368       4.12226725       5.73946857    
       26160   5.72209978       4.12578535       5.74406290    
       26220   5.73400021       4.12578535       5.74775267    
       26280   5.73400021       4.12874794       5.75126791    
       26340   5.74524117       4.12874794       5.75490332    
       26400   5.75541401       4.13242912       5.75851822    
       26460   5.75086689       4.13242912       5.76318264    
       26520   5.76141357       4.13701487       5.76694059    
       26580   5.75719976       4.13701487       5.77009964    
       26640   5.75719976       4.14238214       5.77321291    
       26700   5.77003431       4.14238214       5.77613401    
       26760   5.77653551       4.14947939       5.77791309    
       26820   5.79603434       4.14947939       5.78032970    
       26880   5.78550005       4.15274239       5.78310347    
       26940   5.78550005       4.15274239       5.78730106    
       27000   5.78296566       4.15750265       5.79136372    
       27060   5.78468943       4.15750265       5.79423809    
       27120   5.78782129       4.16410685       5.79537392    
       27180   5.78782129       4.16410685       5.79520130    
       27240   5.79207134       4.17202044       5.79452705    
       27300   5.79207134       4.17202044       5.79442978    
       27360   5.79286194       4.17982149       5.79550362    
       27420   5.80075884       4.17982149       5.79751682    
       27480   5.80075884       4.18264914       5.79990864    
       27540   5.80868959       4.18264914       5.80326700    
       27600   5.81575012       4.18395853       5.80593872    
       27660   5.83317232       4.18395853       5.80908585    
       27720   5.83317232       4.18985271       5.81222677    
       27780   5.84316683       4.18985271       5.81598043    
       27840   5.84224129       4.19762707       5.81954193    
       27900   5.84224129       4.19762707       5.82372046    
       27960   5.84903431       4.20640516       5.82739067    
       28020   5.85186672       4.20640516       5.82986498    
       28080   5.85662079       4.21781778       5.83163166    
       28140   5.85799980       4.21781778       5.83149910    
       28200   5.86358643       4.22827482       5.82970476    
       28260   5.86386681       4.22827482       5.82853699    
       28320   5.86386681       4.23800802       5.82862186    
       28380   5.86819983       4.23800802       5.83006096    
       28440   5.86819983       4.24573755       5.83198833    
       28500   5.87362051       4.24573755       5.83391333    
       28560   5.87264299       4.24706507       5.83456898    
       28620   5.89031029       4.24706507       5.83637619    
       28680   5.88042879       4.25288677       5.90957785    
       28740   5.88042879       4.25288677       5.91131306    
       28800   5.88010359       4.26202917       5.91197014    
       28860   5.88432121       4.26202917       5.91183519    
       28920   5.88899994       4.26890993       5.91124439    
       28980   5.88855171       4.26890993       5.91058731    
       29040   5.89267874       4.27897835       5.91067934    
       29100   5.89272404       4.27897835       5.91083241    
       29160   5.89650011       4.28563404       5.91086912    
       29220   5.89650011       4.28563404       5.91203022    
       29280   5.90235710       4.28930426       5.91480684    
       29340   5.90235710       4.28930426       5.91834545    
       29400   5.89962053       4.29402924       5.91912270    
       29460   5.91696548       4.29402924       5.91790962    
       29520   5.90878582       4.29840422       5.91480875    
       29580   5.91479301       4.29840422       5.91245890    
       29640   5.90775013       4.30481911       5.90994740    
       29700   5.90775013       4.30481911       5.90830851    
       29760   5.90768957       4.30892706       5.90616131    
       29820   5.91257143       4.30892706       5.90361023    
       29880   5.91457129       4.31226397       5.90180492    
       29940   5.90924120       4.31226397       5.89955854    
       30000   5.90924120       4.31362391       5.89707661    
       30060   5.91151714       4.31362391       5.89488840    
       30120   5.92196417       4.31317425       5.89253330    
       30180   5.91555166       4.31317425       5.89207268    
       30240   5.92557144       4.31430244       5.89279127    
       30300   5.92557144       4.31430244       5.89339542    
       30360   5.92606878       4.31439829       5.89183140    
       30420   5.93170023       4.31439829       5.89002562    
       30480   5.91755152       4.31183386       5.88771391    
       30540   5.91755152       4.31183386       5.88589287    
       30600   5.90936661       4.31613779       5.88357019    
       30660   5.91617250       4.31613779       5.88210201    
       30720   5.91582775       4.31969166       5.88174009    
       30780   5.91013336       4.31969166       5.88273716    
       30840   5.91013336       4.32250834       5.88461971    
       30900   5.90863323       4.32250834       5.88640881    
       30960   5.90863323       4.32341099       5.88842726    
       31020   5.91186190       4.32341099       5.89050770    
       31080   5.90303469       4.32829285       5.89168692    
       31140   5.89359999       4.32829285       5.89199305    
       31200   5.89441395       4.33583069       5.89081860    
       31260   5.89441395       4.33583069       5.88998556    
       31320   5.87917852       4.34364557       5.88851738    
       31380   5.87944841       4.34364557       5.88789225    
       31440   5.87039280       4.34700394       5.88695097    
       31500   5.87039280       4.34700394       5.88645840    
       31560   5.86441374       4.34960079       5.88570261    
       31620   5.85644817       4.34960079       5.88554192    
       31680   5.85367870       4.35331202       5.88580656    
       31740   5.84772396       4.35331202       5.88572645    
       31800   5.84592867       4.35555601       5.88525629    
       31860   5.83765507       4.35555601       5.88440609    
       31920   5.83642864       4.35714436       5.88412905    
       31980   5.82744837       4.35714436       5.88388681    
       32040   5.82574987       4.36013699       5.88275290    
       32100   5.82574987       4.36013699       5.88115931    
       32160   5.82551718       4.36163330       5.87791586    
       32220   5.82910013       4.36163330       5.87500381    
       32280   5.80993080       4.36435413       5.79914045    
       32340   5.80993080       4.36435413       5.79336643    
       32400   5.80163336       4.36492014       5.78761387    
       32460   5.79924154       4.36492014       5.78341341    
       32520   5.79096651       4.36286974       5.77947474    
       32580   5.77843332       4.36286974       5.77520752    
       32640   5.77506876       4.36228275       5.77027702    
       32700   5.77506876       4.36228275       5.76388788    
       32760   5.76075840       4.36230421       5.75773954    
       32820   5.75083351       4.36230421       5.75213194    
       32880   5.75083351       4.36538458       5.74670744    
       32940   5.73863316       4.36538458       5.74083042    
       33000   5.73863316       4.36676073       5.73388624    
       33060   5.73976660       4.36676073       5.72861719    
       33120   5.72331047       4.36733437       5.72390938    
       33180   5.71993351       4.36733437       5.72039127    
       33240   5.70741367       4.36707401       5.71713543    
       33300   5.70741367       4.36707401       5.71524620    
       33360   5.69630003       4.36633205       5.71315622    
       33420   5.67853355       4.36633205       5.71148109    
       33480   5.67853355       4.36932898       5.70963621    
       33540   5.67399979       4.36932898       5.70641804    
       33600   5.66044807       4.37260246       5.70274830    
       33660   5.66044807       4.37260246       5.69892120    
       33720   5.64827585       4.37611723       5.69544792    
       33780   5.64827585       4.37611723       5.69268608    
       33840   5.63668966       4.38050413       5.69032812    
       33900   5.63668966       4.38050413       5.68804455    
       33960   5.63668966       4.38293076       5.68488741    
       34020   5.63186216       4.38293076       5.68315697    
       34080   5.61532164       4.38415051       5.68184090    
       34140   5.61532164       4.38415051       5.68143559    
       34200   5.61532164       4.38736629       5.68081188    
       34260   5.60221434       4.38736629       5.68045950    
       34320   5.60221434       4.39066696       5.67971468    
       34380   5.58925009       4.39066696       5.67816162    
       34440   5.58348131       4.39554548       5.67551041    
       34500   5.58348131       4.39554548       5.67230225    
       34560   5.57037020       4.40008068       5.66935921    
       34620   5.57037020       4.40008068       5.66655874    
       34680   5.57037020       4.40447569       5.66396713    
       34740   5.56907701       4.40447569       5.66207314    
       34800   5.56703997       4.40462017       5.66045475    
       34860   5.56703997       4.40462017       5.65923738    
       34920   5.56703997       4.40386343       5.65723848    
       34980   5.56703997       4.40386343       5.65586424    
       35040   5.55370855       4.40292215       5.65403461    
       35100   5.55370855       4.40292215       5.65259409    
       35160   5.54307985       4.40514946       5.65091085    
       35220   5.52595997       4.40514946       5.64924479    
       35280   5.51975012       4.40592098       5.64742565    
       35340   5.51975012       4.40592098       5.64554548    
       35400   5.50454187       4.40509748       5.64424133    
       35460   5.49607992       4.40509748       5.64373398    
       35520   5.49149990       4.40442371       5.64363289    
       35580   5.49149990       4.40442371       5.64300156    
       35640   5.47787523       4.40398979       5.64199734    
       35700   5.47787523       4.40398979       5.64101505    
       35760   5.48239994       4.40510416       5.63946486    
       35820   5.47747993       4.40510416       5.63863373    
       35880   5.45849991       4.40635395       5.43340874    
       35940   5.45849991       4.40635395       5.42567492    
       36000   5.44755983       4.40674686       5.41854715    
       36060   5.43327999       4.40674686       5.41204882    
       36120   5.43327999       4.40659285       5.40523958    
       36180   5.41807985       4.40659285       5.39845181    
       36240   5.41362476       4.40643597       5.39144659    
       36300   5.41362476       4.40643597       5.38445330    
       36360   5.40380001       4.40545273       5.37845993    
       36420   5.40066671       4.40545273       5.37292910    
       36480   5.38929176       4.40318584       5.36743498    
       36540   5.38929176       4.40318584       5.36260271    
       36600   5.37654161       4.39865112       5.35728359    
       36660   5.37654161       4.39865112       5.35216284    
       36720   5.35565233       4.39747620       5.34606695    
       36780   5.35825014       4.39747620       5.34034061    
       36840   5.34678268       4.39524603       5.33427572    
       36900   5.34045839       4.39524603       5.32802343    
       36960   5.34045839       4.39446926       5.32149506    
       37020   5.33337498       4.39446926       5.31502533    
       37080   5.33165216       4.39358282       5.30882263    
       37140   5.32700014       4.39358282       5.30290747    
       37200   5.32700014       4.38934231       5.29722261    
       37260   5.32212496       4.38934231       5.29130411    
       37320   5.32212496       4.38318491       5.28512478    
       37380   5.31830454       4.38318491       5.27942228    
       37440   5.31400013       4.37677670       5.27375746    
       37500   5.31791687       4.37677670       5.26793718    
       37560   5.31791687       4.37139750       5.26066351    
       37620   5.32916021       4.37139750       5.25331068    
       37680   5.30954170       4.36554193       5.24593210    
       37740   5.30954170       4.36554193       5.23959732    
       37800   5.30459976       4.35878754       5.23355007    
       37860   5.30459976       4.35878754       5.22782516    
       37920   5.29824018       4.35144043       5.22189188    
       37980   5.29165363       4.35144043       5.21565580    
       38040   5.28991985       4.34439182       5.20915890    
       38100   5.28991985       4.34439182       5.20262623    
       38160   5.28311539       4.33682108       5.19581175    
       38220   5.27988005       4.33682108       5.18883705    
       38280   5.27161551       4.32853889       5.18174982    
       38340   5.26437044       4.32853889       5.17479372    
       38400   5.26437044       4.31870937       5.16720533    
       38460   5.27196407       4.31870937       5.15940332    
       38520   5.27196407       4.30787182       5.15038300    
       38580   5.27424145       4.30787182       5.14172935    
       38640   5.27424145       4.29579735       5.13344288    
       38700   5.26986647       4.29579735       5.12593508    
       38760   5.26986647       4.28329086       5.11917496    
       38820   5.26924133       4.28329086       5.11300802    
       38880   5.26513815       4.26886749       5.10715866    
       38940   5.26513815       4.26886749       5.10143042    
       39000   5.26049995       4.25499344       5.09569407    
       39060   5.25858641       4.25499344       5.08971214    
       39120   5.25158644       4.24388170       5.08387041    
       39180   5.24563313       4.24388170       5.07919931    
       39240   5.24563313       4.23383236       5.07471418    
       39300   5.24551725       4.23383236       5.07010794    
       39360   5.24551725       4.22399902       5.06465864    
       39420   5.23968983       4.22399902       5.05925083    
       39480   5.22339296       4.21461773       5.22136784    
       39540   5.22339296       4.21461773       5.21787405    
       39600   5.21793127       4.20607853       5.21447659    
       39660   5.21910715       4.20607853       5.21022463    
       39720   5.21596432       4.19672823       5.20581627    
       39780   5.21596432       4.19672823       5.20133257    
       39840   5.21292877       4.18732071       5.19710827    
       39900   5.20734501       4.18732071       5.19317389    
       39960   5.20734501       4.17646217       5.18988800    
       40020   5.20874977       4.17646217       5.18730593    
       40080   5.20237923       4.16522074       5.18523788    
       40140   5.20282125       4.16522074       5.18414736    
       40200   5.19762087       4.15522909       5.18137598    
       40260   5.20568943       4.15522909       5.17758989    
       40320   5.20568943       4.14795351       5.17234373    
       40380   5.20683336       4.14795351       5.16748857    
       40440   5.19955158       4.13967228       5.16340685    
       40500   5.19460011       4.13967228       5.16044044    
       40560   5.19458628       4.13073540       5.15823317    
       40620   5.19036674       4.13073540       5.15573072    
       40680   5.18989658       4.12040377       5.15296602    
       40740   5.18550014       4.12040377       5.14947510    
       40800   5.18431044       4.11097383       5.14550352    
       40860   5.18083334       4.11097383       5.14135933    
       40920   5.17844820       4.10414934       5.13809061    
       40980   5.17844820       4.10414934       5.13594294    
       41040   5.17626667       4.09728622       5.13332319    
       41100   5.18353319       4.09728622       5.13031054    
       41160   5.17282772       4.08958530       5.12593889    
       41220   5.18113327       4.08958530       5.12175560    
       41280   5.16672421       4.08254242       5.11791658    
       41340   5.16672421       4.08254242       5.11454105    
       41400   5.16523314       4.07582426       5.11137724    
       41460   5.16451740       4.07582426       5.10833693    
       41520   5.16353321       4.06925106       5.10522938    
       41580   5.16306686       4.06925106       5.10193300    
       41640   5.16431046       4.06323624       5.09836340    
       41700   5.16450024       4.06323624       5.09438324    
       41760   5.16450024       4.05733728       5.09065676    
       41820   5.16627598       4.05733728       5.08793306    
       41880   5.16756678       4.05118465       5.08584785    
       41940   5.17110348       4.05118465       5.08433485    
       42000   5.17444849       4.04435444       5.08235645    
       42060   5.17444849       4.04435444       5.08057308    
       42120   5.16364288       4.03805447       5.07849312    
       42180   5.16893101       4.03805447       5.07751417    
       42240   5.16289282       4.03346395       5.07695055    
       42300   5.16289282       4.03346395       5.07634544    
       42360   5.16428566       4.03130960       5.07577467    
       42420   5.16231012       4.03130960       5.07453108    
       42480   5.16231012       4.03004599       5.07285166    
       42540   5.16099977       4.03004599       5.07070303    
       42600   5.16099977       4.02930832       5.06848288    
       42660   5.16225004       4.02930832       5.06652832    
       42720   5.16099977       4.02866602       5.06481838    
       42780   5.16353559       4.02866602       5.06327200    
       42840   5.16524982       4.02660322       5.06077099    
       42900   5.17348289       4.02660322       5.05807781    
       42960   5.17348289       4.02459097       5.05479860    
       43020   5.18123341       4.02459097       5.05186844    
       43080   5.17293119       4.02239037       5.17084265    
       43140   5.17293119       4.02239037       5.17120743    
       43200   5.17100000       4.01789713       5.17182684    
       43260   5.17465496       4.01789713       5.17264938    
       43320   5.17439985       4.01409054       5.17436361    
       43380   5.17553329       4.01409054       5.17609215    
       43440   5.17553329       4.01163244       5.17791033    
       43500   5.17862082       4.01163244       5.17970848    
       43560   5.18051720       4.00976038       5.18126965    
       43620   5.18051720       4.00976038       5.18343210    
       43680   5.17810011       4.01141405       5.18435478    
       43740   5.18126678       4.01141405       5.18489933    
       43800   5.18126678       4.01349926       5.18340063    
       43860   5.19379997       4.01349926       5.18207598    
