 20181204
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       12300   7.80417013      -13.7112780       3.46363664      -7.83051586       6.92511845      -13.5484886    
       12360   7.79113960      -13.6650620       3.40171194      -7.81440115       6.85949707      -13.5282841    
       12420   7.76789570      -13.6046724       3.33497047      -7.80175161       6.79812288      -13.5076370    
       12480   7.74216413      -13.5680008       3.27032232      -7.79658794       6.74576521      -13.4999008    
       12540   7.72173929      -13.5415106       3.21294379      -7.79855394       6.69771576      -13.5113811    
       12600   7.70617437      -13.5045490       3.16414237      -7.80444908       6.63226700      -13.5426188    
       12660   7.70614910      -13.4736948       3.12460542      -7.81755495       6.55292749      -13.5862646    
       12720   7.69977188      -13.4429340       3.08395410      -7.84771061       6.47389650      -13.6276798    
       12780   7.66634035      -13.4316435       3.03096104      -7.90059328       6.39578485      -13.6587753    
       12840   7.62715721      -13.4397297       2.96802402      -7.96931744       6.31923103      -13.6818895    
       12900   7.60019779      -13.4091339       2.90236950      -8.03893757       6.24765110      -13.6950932    
       12960   7.60012627      -13.3726454       2.83776999      -8.09844685       6.18222904      -13.7003698    
       13020   7.58546209      -13.3548660       2.77555299      -8.14720154       6.12584972      -13.6998301    
       13080   7.57425213      -13.3025618       2.71696448      -8.19233990       6.06699944      -13.6908312    
       13140   7.54087210      -13.2548895       2.66387224      -8.23699665       6.00295496      -13.6678934    
       13200   7.51093483      -13.2394018       2.61575198      -8.27720547       5.94125938      -13.6358509    
       13260   7.48836899      -13.2066994       2.56732464      -8.30784035       5.88552475      -13.6032600    
       13320   7.47458506      -13.1722136       2.51628208      -8.32605267       5.83676434      -13.5677996    
       13380   7.46270657      -13.1596365       2.46805263      -8.33152676       5.79019547      -13.5395470    
       13440   7.46640348      -13.1241951       2.42724800      -8.32787037       5.74117947      -13.5226908    
       13500   7.45469952      -13.0889673       2.39260674      -8.32355213       5.69409752      -13.5190907    
       13560   7.42480946      -13.0504684       2.36070538      -8.32696438       5.64369917      -13.5434885    
       13620   7.39805651      -13.0345621       2.32907009      -8.34026527       5.58740759      -13.6009588    
       13680   7.39521265      -13.0205383       2.29602313      -8.36427689       5.53126907      -13.6673288    
       13740   7.38291740      -12.9992428       2.25883436      -8.40828705       5.47416592      -13.7227354    
       13800   7.37454939      -13.0185843       2.21568131      -8.48058224       5.41752100      -13.7608776    
       13860   7.36494970      -13.0179567       2.16980767      -8.56640244       5.36530685      -13.7760735    
       13920   7.32792234      -13.0028324       2.12510109      -8.64212608       5.32039547      -13.7727785    
       13980   7.31798935      -12.9936752       2.08305860      -8.69921017       5.27988815      -13.7571487    
       14040   7.27759457      -12.9727592       2.04592943      -8.73856449       5.23899651      -13.7322845    
       14100   7.25879145      -12.9324665       2.01397324      -8.76250744       5.20084572      -13.7009106    
       14160   7.26769686      -12.9312401       1.98386514      -8.77295876       5.17010832      -13.6714611    
       14220   7.25213051      -12.9310303       1.95501125      -8.77082062       5.14490843      -13.6516027    
       14280   7.24289751      -12.9030285       1.93123651      -8.75999737       5.12373543      -13.6481218    
       14340   7.23463488      -12.9055281       1.91396463      -8.74815559       5.10621071      -13.6803322    
       14400   7.22207737      -12.8828735       1.90321970      -8.74243355       7.15689087      -12.9213333    
       14460   7.19162703      -12.8648548       1.90008092      -8.74858093       7.14142561      -12.9612246    
       14520   7.15918446      -12.8422985       1.90016460      -8.77980804       7.12504482      -12.9999685    
       14580   7.13583136      -12.8146458       1.89783835      -8.84538078       7.10495090      -13.0419111    
       14640   7.12101507      -12.7576065       1.89405692      -8.92545986       7.09134531      -13.0796461    
       14700   7.07752180      -12.7264843       1.89146531      -9.00383663       7.07800388      -13.1069679    
       14760   7.02164602      -12.6737432       1.89101946      -9.08309460       7.06209040      -13.1469269    
       14820   6.99594021      -12.6066589       1.89242673      -9.15857506       7.04696417      -13.1865683    
       14880   6.95799971      -12.5821590       1.89274597      -9.22781181       7.03230762      -13.2241154    
       14940   6.94580936      -12.5409317       1.89065707      -9.29728603       7.01576424      -13.2672176    
       15000   6.94602013      -12.5094481       1.88814878      -9.36834717       6.99464846      -13.3104134    
       15060   6.90417767      -12.4810410       1.88557696      -9.43681145       6.97393131      -13.3505478    
       15120   6.87763214      -12.4331522       1.88146281      -9.50170803       6.96034002      -13.3965464    
       15180   6.82943916      -12.4313459       1.87716734      -9.56632137       6.94870949      -13.4495144    
       15240   6.81974268      -12.4138536       1.87708843      -9.63375950       6.92671347      -13.5009565    
       15300   6.78725576      -12.3891916       1.88129961      -9.70402908       6.89525318      -13.5433950    
       15360   6.74785137      -12.3785858       1.88135791      -9.77768612       6.86100101      -13.5753489    
       15420   6.71760798      -12.3751345       1.87056088      -9.85419369       6.82331610      -13.5966129    
       15480   6.67643070      -12.3598909       1.85437548      -9.92612648       6.78475428      -13.6021719    
       15540   6.65934467      -12.3744812       1.83852029      -9.98501492       6.74072838      -13.6006184    
       15600   6.63517380      -12.3410816       1.81947803      -10.0265474       6.69952297      -13.5909996    
       15660   6.60703897      -12.3098793       1.79574633      -10.0516357       6.66705036      -13.5788517    
       15720   6.57492495      -12.3233538       1.77303016      -10.0648308       6.64070082      -13.5763826    
       15780   6.55955076      -12.2833939       1.75734770      -10.0714054       6.61595154      -13.5807419    
       15840   6.53520441      -12.2541990       1.74989438      -10.0763655       6.59497118      -13.5926075    
       15900   6.50500965      -12.2298031       1.74722576      -10.0830259       6.57760239      -13.6240664    
       15960   6.46159506      -12.2254810       1.74777865      -10.0930071       6.55690241      -13.6636734    
       16020   6.41796446      -12.2325563       1.75230658      -10.1074820       6.52823877      -13.7024765    
