 20190712
 Seconds  Measures(GLF-%)  Meso-NH(GLF-%)  FORECAST_AR(GLF-%)
       51300   74.7488403       50.9265862       74.4609375    
       51360   74.7023239       51.1487694       74.4707642    
       51420   74.7023239       51.1487694       74.4440308    
       51480   74.6488342       51.4168549       74.4096909    
       51540   74.7046509       51.4168549       74.3340530    
       51600   74.4930267       51.6671829       74.2562408    
       51660   74.4930267       51.6671829       74.1695404    
       51720   74.4744186       51.8086662       74.0947266    
       51780   74.9209290       51.8086662       74.0271606    
       51840   75.2906952       51.9306450       73.9827194    
       51900   75.2906952       51.9306450       73.8652573    
       51960   75.9930267       52.1295204       73.7093964    
       52020   76.3720932       52.1295204       73.5848465    
       52080   76.7604675       52.2500343       73.5070114    
       52140   76.7604675       52.2500343       73.4166336    
       52200   77.0279083       52.3118095       73.2810822    
       52260   77.2720947       52.3118095       73.0979614    
       52320   77.6372070       52.4557343       72.8708572    
       52380   77.6372070       52.4557343       72.6250000    
       52440   77.8907013       52.4084320       72.3870773    
       52500   78.2255783       52.4084320       72.1203766    
       52560   78.4477310       52.1753998       71.7843552    
       52620   78.9139557       52.1753998       71.4757843    
       52680   79.3023224       51.9526215       71.2078323    
       52740   79.4749985       51.9526215       70.9900970    
       52800   79.7840881       51.5972214       70.8134079    
       52860   79.8976746       51.5972214       70.6889114    
       52920   80.1441879       51.3672028       70.5795593    
       52980   80.2636337       51.3672028       70.5104446    
       53040   80.4295425       51.3559189       70.4423294    
       53100   80.8232574       51.3559189       70.3653870    
       53160   81.0790710       51.4174728       70.2742157    
       53220   81.2909088       51.4174728       70.1696014    
       53280   81.8325577       51.5220222       70.0281830    
       53340   82.3348846       51.5220222       69.9255447    
       53400   82.5162811       51.5858231       69.8281937    
       53460   82.6431808       51.5858231       69.6940231    
       53520   82.7372055       51.5800323       69.5423203    
       53580   83.0139542       51.5800323       69.4072189    
       53640   82.9930267       51.5788460       69.2704315    
       53700   83.0999985       51.5788460       69.1549683    
       53760   83.0999985       51.5326118       69.0269623    
       53820   83.5116272       51.5326118       68.8823624    
       53880   83.7744217       51.4985237       83.8224564    
       53940   83.7386398       51.4985237       84.0866394    
       54000   83.9681854       51.4146767       84.4127731    
       54060   84.0395355       51.4146767       84.7471466    
       54120   84.2348862       51.6310844       85.0688934    
       54180   84.2348862       51.6310844       85.3422394    
       54240   84.7441864       52.0021210       85.6257248    
       54300   84.7209320       52.0021210       85.8372803    
       54360   84.6886368       52.2556190       86.0128021    
       54420   84.6886368       52.2556190       86.1636505    
       54480   84.7244415       52.4492416       86.3246460    
       54540   84.8777771       52.4492416       86.4231873    
       54600   84.9108658       52.5120010       86.5196457    
       54660   85.0977783       52.5120010       86.5923004    
       54720   85.2577744       52.4752121       86.6559143    
       54780   85.2266693       52.4752121       86.7128220    
       54840   85.2021713       52.4892731       86.7797394    
       54900   85.1955566       52.4892731       86.8873901    
       54960   85.3266678       52.4301147       87.0341644    
       55020   85.3066635       52.4301147       87.1635437    
       55080   85.3066635       52.4497833       87.3325195    
       55140   85.3911133       52.4497833       87.5295486    
       55200   85.3888855       52.5233841       87.7708435    
       55260   85.5044479       52.5233841       87.9727173    
       55320   85.5044479       52.8192787       88.1538391    
       55380   85.6244431       52.8192787       88.3290100    
       55440   85.6600037       53.1247635       88.5092239    
       55500   85.5400009       53.1247635       88.6923294    
       55560   85.5400009       53.4242363       88.9180145    
       55620   85.4022217       53.4242363       89.1336517    
       55680   85.2200012       53.7523575       89.3251343    
       55740   85.1068192       53.7523575       89.4639053    
       55800   85.0955582       54.2332611       89.5916901    
       55860   85.1181793       54.2332611       89.7624435    
       55920   84.9045486       54.6252174       89.9637833    
       55980   84.6704559       54.6252174       90.1706543    
       56040   84.3577805       54.9514656       90.3669205    
       56100   84.1863632       54.9514656       90.5190353    
       56160   84.2136383       55.3731766       90.6118393    
       56220   84.0227280       55.3731766       90.6716461    
       56280   84.0227280       55.8071480       90.7481079    
       56340   83.9522705       55.8071480       90.8207626    
       56400   83.6727295       56.0349007       90.8837738    
       56460   83.5931854       56.0349007       90.9453125    
       56520   83.5931854       56.3296471       90.9615631    
       56580   83.5431824       56.3296471       90.9598312    
       56640   83.6068192       56.6242218       90.9172363    
       56700   83.6386337       56.6242218       90.8762360    
       56760   83.6386337       56.7457657       90.8104401    
       56820   83.6409073       56.7457657       90.7117691    
       56880   83.3977280       56.7876892       90.6017075    
       56940   83.4111099       56.7876892       90.5013428    
       57000   83.3045425       56.7716942       90.3657837    
       57060   83.1886368       56.7716942       90.2207718    
       57120   83.0744171       56.7299118       90.1082382    
       57180   83.1409073       56.7299118       90.0165787    
       57240   83.1068192       56.5936012       89.9056015    
       57300   83.1750031       56.5936012       89.7808304    
       57360   83.1772690       56.6083527       89.6168442    
       57420   83.1772690       56.6083527       89.4569626    
       57480   83.1136398       56.5706596       83.2236252    
       57540   83.1272736       56.5706596       83.1990585    
       57600   83.1488342       56.4056053       83.0979462    
       57660   83.0441895       56.4056053       82.9378815    
       57720   83.0441895       56.3650436       82.7528763    
       57780   82.9095230       56.3650436       82.5556183    
       57840   82.9095230       56.0988541       82.3986435    
       57900   82.8707352       56.0988541       82.2673950    
       57960   82.9899979       55.7289238       82.1769638    
       58020   82.9820480       55.7289238       82.1122589    
       58080   82.9820480       55.4992790       82.1072006    
       58140   82.8947372       55.4992790       82.1455994    
       58200   82.7945938       55.4412155       82.2244797    
       58260   82.6944427       55.4412155       82.2978668    
       58320   82.6944427       55.5772057       82.3544846    
       58380   82.5400009       55.5772057       82.3789978    
       58440   82.5117645       55.8393478       82.3940659    
       58500   82.4636383       55.8393478       82.3915482    
       58560   82.4636383       56.0908051       82.3432388    
       58620   82.3000031       56.0908051       82.2739182    
       58680   82.2741928       56.1939468       82.1967316    
       58740   82.2741928       56.1939468       82.0486526    
       58800   82.2766647       56.0930786       81.8541794    
       58860   82.4103470       56.0930786       81.6518097    
       58920   82.7178574       55.9540939       81.4654617    
       58980   82.7178574       55.9540939       81.2677536    
       59040   82.7555542       55.6171112       81.1208649    
       59100   82.6538467       55.6171112       80.9986267    
       59160   82.7239990       55.2958946       80.8865051    
       59220   82.7239990       55.2958946       80.7790985    
       59280   82.6125031       55.1326103       80.6512070    
       59340   82.7478256       55.1326103       80.5144882    
       59400   82.7478256       55.0187607       80.3448792    
       59460   82.6636353       55.0187607       80.1174011    
       59520   9999.00000       54.8198013       79.8699036    
       59580   9999.00000       54.8198013       79.6183853    
       59640   9999.00000       54.4730644       79.4038773    
       59700   9999.00000       54.4730644       79.2330475    
       59760   9999.00000       54.0674706       79.0953064    
       59820   9999.00000       54.0674706       79.0129089    
       59880   9999.00000       53.8041077       78.9375687    
       59940   9999.00000       53.8041077       78.8200989    
       60000   9999.00000       53.6772461       78.5944595    
       60060   9999.00000       53.6772461       78.2602539    
       60120   9999.00000       53.5872841       77.9742432    
       60180   9999.00000       53.5872841       77.7692795    
       60240   9999.00000       53.0801811       77.6389694    
       60300   9999.00000       53.0801811       77.5972137    
       60360   9999.00000       52.7845154       77.5675659    
       60420   9999.00000       52.7845154       77.5608597    
       60480   9999.00000       52.7863121       77.5504608    
       60540   9999.00000       52.7863121       77.5194626    
       60600   9999.00000       52.8621902       77.5128174    
       60660   9999.00000       52.8621902       77.5638123    
       60720   9999.00000       52.9486084       77.6651459    
       60780   9999.00000       52.9486084       77.7737579    
       60840   9999.00000       53.1493416       77.7651138    
       60900   9999.00000       53.1493416       77.6743698    
       60960   9999.00000       53.5581017       77.5791245    
