 20190128
 Seconds  Measures(WD-m/s_VX)  Measures(WD-m/s_VY)  Meso-NH(WD-m/s_VX)  Meso-NH(WD-m/s_VY)  FORECAST_AR(WD-m/s_VX)  FORECAST_AR(WD-m/s_VY)
       23400  -1.78749001       4.61760139      0.566580296       4.01383352       1.02916288       4.84183073    
       23460  -1.83209038       4.59664536      0.536484420       4.01776838       1.02916288       4.84183073    
       23520  -1.87733424       4.57344723      0.508408487       4.01647472       1.02916288       4.84183073    
       23580  -1.92739141       4.54485321      0.485165447       4.00944757       1.02916288       4.84183073    
       23640  -1.97070563       4.51734352      0.467097998       3.99787760       1.02916288       4.84183073    
       23700  -2.01629448       4.49348497      0.451159954       3.98371768       1.02916288       4.84183073    
       23760  -2.06038618       4.46440792      0.433583319       3.96857548       1.02916288       4.84183073    
       23820  -2.10777998       4.44046736      0.413821369       3.95371866       1.02916288       4.84183073    
       23880  -2.16623974       4.41410255      0.392999679       3.93967104       1.02916288       4.84183073    
       23940  -2.22768044       4.38340139      0.370818198       3.92699456       1.02916288       4.84183073    
       24000  -2.28784013       4.35553980      0.346358061       3.91700506       1.02916288       4.84183073    
       24060  -2.35032725       4.32418823      0.319877774       3.91012073       1.02916288       4.84183073    
       24120  -2.40514135       4.29907417      0.292866349       3.90436268       1.02916288       4.84183073    
       24180  -2.46299839       4.27365541      0.267629683       3.89751077       1.02916288       4.84183073    
       24240  -2.52079582       4.25037146      0.247259930       3.88884783       1.02916288       4.84183073    
       24300  -2.57572627       4.22617435      0.235100135       3.87957406       1.02916288       4.84183073    
       24360  -2.63698292       4.20554209      0.232604444       3.87312269       1.02916288       4.84183073    
       24420  -2.70418406       4.18448448      0.237027258       3.87243247       1.02916288       4.84183073    
       24480  -2.77628541       4.15987825      0.242029920       3.87516594       1.02916288       4.84183073    
       24540  -2.85803008       4.14109468      0.241039410       3.87415791       1.02916288       4.84183073    
       24600  -2.94441271       4.11713028      0.233617052       3.86161327       1.02916288       4.84183073    
       24660  -3.03560185       4.09657574      0.223658666       3.83634281       1.02916288       4.84183073    
       24720  -3.13003516       4.07906151      0.213323042       3.80376148       1.02916288       4.84183073    
       24780  -3.23406506       4.06262970      0.203222722       3.76899934       1.02916288       4.84183073    
       24840  -3.33366632       4.04675198      0.192379877       3.73454309       1.02916288       4.84183073    
