 20181222
 Seconds  Measures(ISO-arcsec)  Meso-NH(ISO-arcsec)  FORECAST_AR(ISO-arcsec)
       48540   2.30502868       2.31741714       2.80575275    
       48600   2.30244112       2.32081199       2.80444431    
       48660   2.30244112       2.32081199       2.80251741    
       48720   2.29099989       2.32326674       2.80054832    
       48780   2.27349997       2.32326674       2.79857707    
       48840   2.27349997       2.32409263       2.79695082    
       48900   2.26120591       2.32409263       2.79605961    
       48960   2.23479414       2.32452416       2.79580855    
       49020   2.20655894       2.32452416       2.79619026    
       49080   2.20655894       2.32607985       2.79722524    
       49140   2.18511772       2.32607985       2.79876375    
       49200   2.16152930       2.32989264       2.80057144    
       49260   2.14122868       2.32989264       2.80277610    
       49320   2.13270593       2.33604765       2.80517983    
       49380   2.11014700       2.33604765       2.80772328    
       49440   2.10039997       2.34300113       2.81063008    
       49500   2.08402848       2.34300113       2.81341743    
       49560   2.07541180       2.35051990       2.81609893    
       49620   2.05767655       2.35051990       2.81850505    
       49680   2.06139994       2.35923409       2.82055974    
       49740   2.05317140       2.35923409       2.82235432    
       49800   2.03791165       2.36736202       2.82403731    
       49860   2.04040003       2.36736202       2.82578516    
       49920   2.02137136       2.37389517       2.82768345    
       49980   2.01539993       2.37389517       2.82983947    
       50040   2.01855874       2.37983894       2.83208013    
       50100   2.01711440       2.37983894       2.83454919    
       50160   2.01371431       2.38620329       2.83698249    
       50220   2.01522851       2.38620329       2.83935976    
       50280   2.02263880       2.39275050       2.37899947    
       50340   2.01854277       2.39275050       2.38432384    
       50400   2.01994276       2.39900708       2.38966298    
       50460   2.03254294       2.39900708       2.39478445    
       50520   2.04119444       2.40461588       2.39964247    
       50580   2.04154277       2.40461588       2.40419984    
       50640   2.04071426       2.40963483       2.40878010    
       50700   2.05871439       2.40963483       2.41305423    
       50760   2.07269454       2.41396284       2.41679215    
       50820   2.06739998       2.41396284       2.41996813    
       50880   2.08325720       2.41759348       2.42259169    
       50940   2.09688878       2.41759348       2.42474794    
       51000   2.09448576       2.41942358       2.42642999    
       51060   2.11294293       2.41942358       2.42861247    
       51120   2.12202859       2.41894269       2.43131137    
       51180   2.12755561       2.41894269       2.43485022    
       51240   2.12508583       2.41646171       2.43914747    
       51300   2.11471438       2.41646171       2.44345617    
       51360   2.11477137       2.41622448       2.44779134    
       51420   2.11505556       2.41622448       2.45167089    
       51480   2.11391425       2.41924763       2.45497751    
       51540   2.11144447       2.41924763       2.45777774    
       51600   2.11145949       2.42220426       2.45999599    
       51660   2.11257887       2.42220426       2.46167612    
       51720   2.11257887       2.42312980       2.46293259    
       51780   2.11257887       2.42312980       2.46384382    
       51840   2.11257887       2.42214751       2.46468329    
       51900   2.11257887       2.42214751       2.46562099    
       51960   2.11257887       2.41952348       2.46688747    
       52020   2.11257887       2.41952348       2.46847582    
       52080   2.11257887       2.41692305       2.47032428    
       52140   2.11257887       2.41692305       2.47278714    
       52200   2.11257887       2.41584992       2.47567344    
       52260   2.11257887       2.41584992       2.47916889    
       52320   2.11257887       2.41609883       2.48332810    
       52380   2.11683774       2.41609883       2.48759699    
       52440   2.12308335       2.41828990       2.49215031    
       52500   2.12308335       2.41828990       2.49660850    
       52560   2.13117146       2.42348599       2.50058436    
       52620   2.14932346       2.42348599       2.50417352    
       52680   2.16742420       2.42992282       2.50734711    
       52740   2.16742420       2.42992282       2.51009130    
       52800   2.17706251       2.43494058       2.51228786    
       52860   2.19290328       2.43494058       2.51416135    
       52920   2.21763325       2.43855548       2.51568151    
       52980   2.21763325       2.43855548       2.51704359    
       53040   2.23793101       2.44031000       2.51846194    
       53100   2.25467849       2.44031000       2.51972651    
       53160   2.27014804       2.44096994       2.52096176    
