 20181115
 Seconds  Measures(TAU-ms)  Meso-NH(TAU-ms)  FORECAST_AR(TAU-ms)
       51360   4.19324255       2.80593824       4.12080526    
       51420   4.19324255       2.80593824       4.11451054    
       51480   4.20109367       2.80109930       4.11031055    
       51540   4.20109367       2.80109930       4.10547018    
       51600   4.18296862       2.79318070       4.10197544    
       51660   4.17859364       2.79318070       4.10055256    
       51720   4.18496752       2.78498864       4.10003948    
       51780   4.18496752       2.78498864       4.10163116    
       51840   4.17296648       2.78289819       4.10128117    
       51900   4.16272402       2.78289819       4.09967089    
       51960   4.14739275       2.78538275       4.09818411    
       52020   4.14739275       2.78538275       4.09810686    
       52080   4.13418531       2.78707361       4.09657478    
       52140   4.14896154       2.78707361       4.09352589    
       52200   4.13140011       2.78986311       4.08863258    
       52260   4.13140011       2.78986311       4.08309031    
       52320   4.12595844       2.79021239       4.07620668    
       52380   4.11108685       2.79021239       4.06802797    
       52440   4.07100010       2.78255320       4.05797911    
       52500   4.07100010       2.78255320       4.04547024    
       52560   4.05961895       2.76731658       4.03365993    
       52620   4.03844976       2.76731658       4.02043962    
       52680   4.03844976       2.74471807       4.00854540    
       52740   4.03142118       2.74471807       3.99888468    
       52800   4.00216675       2.72578216       3.99247670    
       52860   3.97070599       2.72578216       3.98687029    
       52920   3.97070599       2.71334052       3.98327446    
       52980   3.94506240       2.71334052       3.98190212    
       53040   3.93806672       2.71131611       3.98049641    
       53100   3.93478560       2.71131611       3.97983909    
       53160   3.93478560       2.71334076       3.97656679    
       53220   3.92507696       2.71334076       3.97273922    
       53280   3.94483328       2.71531844       3.96868753    
       53340   3.98027277       2.71531844       3.96356034    
       53400   3.98027277       2.70870852       3.96014094    
       53460   3.98160005       2.70870852       3.95697045    
       53520   9999.00000       2.70264721       3.95254993    
       53580   9999.00000       2.70264721       3.94794321    
       53640   9999.00000       2.70440412       3.94311833    
       53700   9999.00000       2.70440412       3.94095731    
       53760   9999.00000       2.69991350       3.94287634    
       53820   9999.00000       2.69991350       3.94506216    
       53880   9999.00000       2.69503260       3.94608688    
       53940   9999.00000       2.69503260       3.94486237    
       54000   9999.00000       2.70623946       3.94194269    
