 20190702
 Seconds  Measures(WS-m/s)  Meso-NH(WS-m/s)  FORECAST_AR(WS-m/s)
       24060   6.93639326       10.1417465       3.77268291    
       24120   7.00491810       10.0284147       3.69840407    
       24180   7.07213116       9.90551090       3.62034225    
       24240   7.14180326       9.77325153       3.54102111    
       24300   7.21475410       9.63561058       3.45956016    
       24360   7.29311466       9.49549484       3.37887120    
       24420   7.37901640       9.35297012       3.30165482    
       24480   7.45147562       9.21053791       3.23139644    
       24540   7.51819658       9.07083893       3.16824222    
       24600   7.58180332       8.93652534       3.10756636    
       24660   7.64278698       8.81136227       3.04474783    
       24720   7.70459032       8.69576645       2.97903657    
       24780   7.75032806       8.58528709       2.91084862    
       24840   7.79213095       8.47491074       2.84456468    
       24900   7.84081984       8.36172295       2.77998710    
       24960   7.88000011       8.24658585       2.71411061    
       25020   7.92163944       8.13330173       2.64683270    
       25080   7.97459030       8.02167797       2.57685709    
       25140   8.02688503       7.91031551       2.49896073    
       25200   8.06213093       7.79920721       2.41404080    
       25260   8.11344242       7.68437815       8.09033871    
       25320   8.16475391       7.56175661       8.14226055    
       25380   8.21639347       7.43455505       8.19942951    
       25440   8.25459003       7.30958700       8.26168537    
       25500   8.30868816       7.19163465       8.32795906    
       25560   8.37344265       7.08284473       8.39655590    
       25620   8.45754051       6.98455811       8.46703339    
       25680   8.52065563       6.89525318       8.54282570    
       25740   8.56622982       6.81265545       8.61706638    
       25800   8.62885284       6.73810339       8.68693829    
       25860   8.69114780       6.67180395       8.74986553    
       25920   8.77770519       6.60936451       8.79952431    
       25980   8.84081936       6.54674625       8.83723545    
       26040   8.91213131       6.48384666       8.86632729    
       26100   8.98918056       6.42144299       8.90086365    
       26160   9.06540966       6.35853529       8.95144081    
       26220   9.14704895       6.29408836       9.02374363    
       26280   9.23393440       6.23281097       9.11277390    
       26340   9.31426239       6.18720818       9.21043491    
       26400   9.38393402       6.16697836       9.30644417    
       26460   9.43803310       6.17035341       9.39759827    
